,Model,R-squared
0,Linear,0.6981585057182187
1,LOESS,0.8058649836419259
2,Polynomial 2,0.7832998624848451
3,Polynomial 3,0.8122210810379455
4,Polynomial 4,0.692954350087965
5,Polynomial 5,0.5407066925989483
6,Polynomial 6,0.4302967111549385
7,Polynomial 7,0.35479713011956604
