,Region,Accepted Species with Ambiguity,All Accepted Species,expected_diversity,Accepted Species with Ambiguity_residuals,highlight_high,highlight_low
0,ABT,746,1662,756.5838630554417,-10.583863055441725,False,False
1,AFG,1219,4523,1333.8813940276125,-114.88139402761249,False,False
2,AGE,1501,5374,1486.7990183638788,14.200981636121242,False,False
3,AGS,594,2094,901.3247838896915,-307.3247838896915,False,False
4,AGW,1322,5391,1489.9842642583449,-167.98426425834487,False,False
5,ALA,1404,3069,1108.9573197258908,295.0426802741092,False,False
6,ALB,2142,3493,1173.5712486093373,968.4287513906627,True,False
7,ALD,98,199,100.15051427465788,-2.15051427465788,False,False
8,ALG,1766,3612,1191.5172953698195,574.4827046301805,False,False
9,ALT,1282,2623,1025.37833472038,256.62166527961995,False,False
10,ALU,178,366,176.05465076162906,1.9453492383709374,False,False
11,AMU,638,1440,660.6413259675223,-22.641325967522334,False,False
12,AND,819,1817,812.4091474930369,6.590852506963074,False,False
13,ANG,1261,6210,1637.8185618686855,-376.8185618686855,False,False
14,ANT,1,3,10.931821853395215,-9.931821853395215,False,False
15,ARI,1052,3627,1193.7687793584262,-141.76877935842617,False,False
16,ARK,1051,2204,930.1811833117217,120.81881668827828,False,False
17,ARU,171,287,140.162242289206,30.837757710793994,False,False
18,ASC,20,36,25.962512871812134,-5.962512871812134,False,False
19,ASK,620,1403,643.9872328415026,-23.987232841502646,False,False
20,ASP,9,31,23.685363653968654,-14.685363653968654,False,False
21,ASS,2218,6452,1676.3785040406233,541.6214959593767,False,False
22,ATP,64,207,103.78918681498354,-39.78918681498354,False,False
23,AUT,2057,3862,1229.465126886395,827.534873113605,True,False
24,AZO,352,561,264.52803927325897,87.47196072674103,False,False
25,BAH,517,1085,501.1580166790234,15.841983320976624,False,False
26,BAL,892,1472,675.0639112643022,216.9360887356978,False,False
27,BAN,1880,4156,1275.2614000879184,604.7385999120816,False,False
28,BEN,752,2320,957.3363465477806,-205.33634654778064,False,False
29,BER,120,198,99.69566331914643,20.304336680853567,False,False
30,BGM,1233,2027,880.7969276711151,352.2030723288849,False,False
31,BIS,477,1689,766.8993544351916,-289.89935443519164,False,False
32,BKN,680,1844,821.8577927621968,-141.85779276219682,False,False
33,BLR,1051,1476,676.8678200403058,374.1321799596942,False,False
34,BLT,1058,1754,790.3910541371079,267.60894586289214,False,False
35,BLZ,1353,3633,1194.6690258264998,158.33097417350018,False,False
36,BOL,2918,14869,2734.1011793944267,183.8988206055733,False,False
37,BOR,1836,11993,2448.1537941518027,-612.1537941518027,False,False
38,BOT,719,2495,997.8483142859735,-278.8483142859735,False,False
39,BRC,995,2340,961.8996936844843,33.100306315515695,False,False
40,BRY,870,1813,811.0672634662616,58.93273653373842,False,False
41,BUL,2298,4010,1252.3098610549862,1045.6901389450138,True,False
42,BUR,756,2809,1062.3359202379172,-306.3359202379172,False,False
43,BZC,2002,9901,2201.9893138783054,-199.98931387830544,False,False
44,BZE,2219,11507,2399.779789123773,-180.77978912377284,False,False
45,BZL,2966,18308,3075.223589037049,-109.2235890370489,False,False
46,BZN,2081,13502,2597.630860770875,-516.6308607708752,False,False
47,BZS,2053,8580,2007.0436090824192,45.95639091758085,False,False
48,CAB,97,940,435.8750618289044,-338.8750618289044,False,False
49,CAF,875,3681,1201.9129442489586,-326.91294424895864,False,False
50,CAL,1286,5755,1558.7571517410995,-272.7571517410995,False,False
51,CAY,313,554,261.35524857317233,51.64475142682767,False,False
52,CBD,1400,3935,1240.7611140944675,159.23888590553247,False,False
53,CGS,33,53,33.704200458702566,-0.7042004587025659,False,False
54,CHA,800,2148,915.5554569968095,-115.55545699680954,False,False
55,CHC,3323,20318,3277.3746862893086,45.625313710691444,False,False
56,CHH,1236,3621,1192.866152944428,43.133847055572005,False,False
57,CHI,1000,2779,1056.781677228632,-56.78167722863191,False,False
58,CHM,951,2479,994.3431699707214,-43.34316997072142,False,False
59,CHN,1471,5574,1524.3364756062967,-53.336475606296744,False,False
60,CHQ,550,2204,930.1811833117217,-380.1811833117217,False,False
61,CHS,2505,11586,2407.9213274915846,97.07867250841537,False,False
62,CHT,1535,7115,1778.975657368665,-243.975657368665,False,False
63,CHX,1167,3467,1169.6113561783022,-2.6113561783022305,False,False
64,CKI,52,76,44.17670645823255,7.823293541767448,False,False
65,CLC,864,3029,1102.5054459387604,-238.50544593876043,False,False
66,CLM,3469,25023,3739.239322000343,-270.2393220003428,False,False
67,CLN,444,1752,789.6905889146257,-345.69058891462566,False,False
68,CLS,476,1376,631.847920004711,-155.847920004711,False,False
69,CMN,1232,7109,1778.0495817307522,-546.0495817307522,False,False
70,CNT,921,1750,788.9891390639548,132.01086093604522,False,False
71,CNY,685,1645,750.1979412362548,-65.19794123625479,False,False
72,COL,993,2779,1056.781677228632,-63.78167722863191,False,False
73,COM,388,1108,511.49883026716617,-123.49883026716617,False,False
74,CON,731,3983,1248.0694710717523,-517.0694710717523,False,False
75,COO,124,295,143.7981281607747,-19.798128160774695,False,False
76,COR,1432,2197,928.4888801540642,503.5111198459358,False,False
77,COS,2222,10743,2313.499179463505,-91.49917946350479,False,False
78,CPI,110,208,104.24400393475666,5.7559960652433375,False,False
79,CPP,3010,15813,2826.2643127447764,183.73568725522364,False,False
80,CPV,180,603,283.5594376840202,-103.55943768402022,False,False
81,CRL,402,1037,479.5649252362783,-77.56492523627833,False,False
82,CRZ,8,22,19.586288158399313,-11.586288158399313,False,False
83,CTA,738,1531,701.6742318135178,36.32576818648215,False,False
84,CTM,130,361,173.78378512079738,-43.783785120797376,False,False
85,CUB,1736,6154,1628.6942000612335,107.30579993876654,False,False
86,CVI,301,534,252.28877045081921,48.711229549180786,False,False
87,CYP,906,1641,748.653463972107,157.34653602789297,False,False
88,CZE,1869,3653,1197.6949815168127,671.3050184831873,False,False
89,DEL,877,1578,722.7935835743,154.2064164257,False,False
90,DEN,980,1820,813.4129823888384,166.58701761116163,False,False
91,DJI,335,775,361.39285517394245,-26.39285517394245,False,False
92,DOM,1449,3961,1244.742084396315,204.25791560368498,False,False
93,DSV,11,28,22.319034633845806,-11.319034633845806,False,False
94,EAI,1123,2113,906.3864854508874,216.61351454911255,False,False
95,EAS,23,40,27.784172801774886,-4.784172801774886,False,False
96,ECU,2701,18399,3084.391782961662,-383.3917829616621,False,False
97,EGY,838,1609,736.1623130639605,101.83768693603952,False,False
98,EHM,2362,7972,1913.2183547619761,448.7816452380239,False,False
99,ELS,1266,3532,1179.495050284563,86.50494971543708,False,False
100,EQG,279,1506,690.4008951068938,-411.4008951068938,False,False
101,ERI,757,1841,820.8707374813664,-63.870737481366405,False,False
102,ETH,1396,5191,1451.8900605355768,-55.89006053557682,False,False
103,FAL,81,183,92.8724522401929,-11.8724522401929,False,False
104,FIJ,410,1710,774.5747481659148,-364.5747481659148,False,False
105,FIN,925,2780,1056.968152009556,-131.96815200955598,False,False
106,FLA,1409,3176,1125.9491643412603,283.05083565873974,False,False
107,FOR,243,359,172.8754076905685,70.1245923094315,False,False
108,FRA,3126,6496,1683.401742623999,1442.598257376001,True,False
109,FRG,1372,5155,1445.0348185753676,-73.03481857536758,False,False
110,GAB,772,5078,1430.4765969463358,-658.4765969463358,False,True
111,GAL,280,594,279.4820671918528,0.5179328081471795,False,False
112,GAM,360,800,372.69050319810214,-12.690503198102135,False,False
113,GEO,1408,3053,1106.4232453797622,301.5767546202378,False,False
114,GER,2011,4310,1299.8112739902863,711.1887260097137,False,False
115,GGI,568,1946,855.5148531755486,-287.51485317554864,False,False
116,GHA,845,3164,1123.8977770115714,-278.8977770115714,False,False
117,GIL,59,96,53.281770754285716,5.718229245714284,False,False
118,GNB,516,1419,651.1861196299942,-135.1861196299942,False,False
119,GNL,302,524,247.75478424195828,54.245215758041724,False,False
120,GRB,1230,2987,1095.1383620598185,134.86163794018148,False,False
121,GRC,2503,5350,1482.1565849702176,1020.8434150297824,True,False
122,GST,368,726,339.2375877581678,28.76241224183218,False,False
123,GUA,2203,8324,1967.8046298684067,235.19537013159334,False,False
124,GUI,880,3556,1183.0633811491753,-303.06338114917526,False,False
125,GUY,1591,6353,1660.8906239317075,-69.89062393170752,False,False
126,HAI,1330,3718,1207.4946551356156,122.50534486438437,False,False
127,HAW,211,1309,601.7572591531256,-390.7572591531256,False,False
128,HBI,7,12,15.031450611942509,-8.031450611942509,False,False
129,HMD,3,11,14.575949105593265,-11.575949105593265,False,False
130,HON,2081,6701,1715.360591388403,365.639408611597,False,False
131,HUN,1574,2561,1012.6310006956868,561.3689993043132,False,False
132,ICE,330,787,366.8162508736801,-36.816250873680076,False,False
133,IDA,844,2425,981.2625237739011,-137.26252377390108,False,False
134,ILL,1142,2323,958.0223575540966,183.97764244590337,False,False
135,IND,2739,8024,1921.2995464341247,817.7004535658753,True,False
136,INI,1045,2023,879.46381084225,165.53618915774996,False,False
137,IOW,816,1593,729.4947415316568,86.50525846834319,False,False
138,IRE,793,1437,659.290102916626,133.70989708337402,False,False
139,IRK,865,1720,778.2071898722727,86.79281012772731,False,False
140,IRN,2189,8248,1956.0903682039168,232.9096317960832,False,False
141,IRQ,1223,3103,1114.4721173868566,108.52788261314345,False,False
