,Region,Number of Taxa
0,ABT,746
1,AFG,1219
2,AGE,1501
3,AGS,594
4,AGW,1322
5,ALA,1404
6,ALB,2142
7,ALD,98
8,ALG,1766
9,ALT,1282
10,ALU,178
11,AMU,638
12,AND,819
13,ANG,1261
14,ANT,1
15,ARI,1052
16,ARK,1051
17,ARU,171
18,ASC,20
19,ASK,620
20,ASP,9
21,ASS,2218
22,ATP,64
23,AUT,2057
24,AZO,352
25,BAH,517
26,BAL,892
27,BAN,1880
28,BEN,752
29,BER,120
30,BGM,1233
31,BIS,477
32,BKN,680
33,BLR,1051
34,BLT,1058
35,BLZ,1353
36,BOL,2918
37,BOR,1836
38,BOT,719
39,BRC,995
40,BRY,870
41,BUL,2298
42,BUR,756
43,BZC,2002
44,BZE,2219
45,BZL,2966
46,BZN,2081
47,BZS,2053
48,CAB,97
49,CAF,875
50,CAL,1286
51,CAY,313
52,CBD,1400
53,CGS,33
54,CHA,800
55,CHC,3323
56,CHH,1236
57,CHI,1000
58,CHM,951
59,CHN,1471
60,CHQ,550
61,CHS,2505
62,CHT,1535
63,CHX,1167
64,CKI,52
65,CLC,864
66,CLM,3469
67,CLN,444
68,CLS,476
69,CMN,1232
70,CNT,921
71,CNY,685
72,COL,993
73,COM,388
74,CON,731
75,COO,124
76,COR,1432
77,COS,2222
78,CPI,110
79,CPP,3010
80,CPV,180
81,CRL,402
82,CRZ,8
83,CTA,738
84,CTM,130
85,CUB,1736
86,CVI,301
87,CYP,906
88,CZE,1869
89,DEL,877
90,DEN,980
91,DJI,335
92,DOM,1449
93,DSV,11
94,EAI,1123
95,EAS,23
96,ECU,2701
97,EGY,838
98,EHM,2362
99,ELS,1266
100,EQG,279
101,ERI,757
102,ETH,1396
103,FAL,81
104,FIJ,410
105,FIN,925
106,FLA,1409
107,FOR,243
108,FRA,3126
109,FRG,1372
110,GAB,772
111,GAL,280
112,GAM,360
113,GEO,1408
114,GER,2011
115,GGI,568
116,GHA,845
117,GIL,59
118,GNB,516
119,GNL,302
120,GRB,1230
121,GRC,2503
122,GST,368
123,GUA,2203
124,GUI,880
125,GUY,1591
126,HAI,1330
127,HAW,211
128,HBI,7
129,HMD,3
130,HON,2081
131,HUN,1574
132,ICE,330
133,IDA,844
134,ILL,1142
135,IND,2739
136,INI,1045
137,IOW,816
138,IRE,793
