,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author,publication_year
count,54160,54435,54435,54435,54435,54435,51639,54435,54435,54435,2,54435,160,54435,0,0,8634,54435,6332,54422,54417,54414,54435,54435,54435,10725,2094,14128,0,54435,14,54433,54435,54435,54396,54435,54435,54435,54435,54435,54435,54435,54435,54435,54414
unique,34773,34940,34940,304,7,54435,51639,1,2,279,1,3262,1,7895,0,0,1487,7322,451,4229,23364,484,28992,12481,34940,9862,562,1,0,54435,14,2,33190,33190,33166,33190,54435,54435,54277,26,19727,53977,53977,53727,271
top,731955-1,Rosa canina,Rosa canina L.,Asteraceae,Species,466437,77116345-1,Species,Illegitimate,Asteraceae,×,Polypodium,×,gracilis,,,L.,L.,A.P.de Candolle,Prodr.,: 21,(1891),Senecio tomentosus,L.,2921968,190618,L.,T,,77116345-1,A. ciliatum × A. volkeri,N,Rosa canina,Rosa canina L.,731955-1,2921968,× Laeliocattleya felix (L.C.Menezes) J.M.H.Shaw,× Laeliocattleya felix L.C.Menezes J.M.H.Shaw,Nunnezharia humilis Kuntze,C.,C. gracilis,A. pubescens Willd.,A. pubescens Willd.,A. pubescens Willd.,1891
freq,29,29,29,5794,43903,1,1,54435,28353,5796,2,714,160,341,,,825,1088,761,1617,98,885,7,1043,29,4,457,14128,,1,1,31262,29,29,29,29,1,1,2,7590,61,6,6,6,888
