,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author,publication_year
count,8064,8076,8076,8076,8076,8076,8064,8076,8076,8076,0,8076,26,8076,0,0,986,8076,928,8075,8071,8072,8076,8076,8076,1146,160,0,8076,8076,27,8076,8076,8076,8064,8076,8076,8076,8076,8076,8076,8076,8076,8076,8072
unique,8064,8076,8076,224,1,8076,8064,1,1,224,0,1553,1,3771,0,0,346,1765,170,1447,5262,329,8076,2397,8076,1146,110,0,1553,8076,27,2,8076,8076,8064,8076,8076,8076,8076,26,6999,8042,8042,8040,268
top,775634-1,Zygophyllum retrofractum,Zygophyllum retrofractum Thunb.,Asteraceae,Species,2469670,775634-1,Species,Accepted,Asteraceae,,Carex,×,angustifolia,,,L.,L.,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Sp. Pl.,: 13,(1753),Zygophyllum retrofractum,L.,2469670,2522850,L.,,224198,873679-1,A. fontanum × A. petrarchae subsp. bivalens,N,Zygophyllum retrofractum,Zygophyllum retrofractum Thunb.,775634-1,2469670,Zygophyllum retrofractum Thunb.,Zygophyllum retrofractum Thunb.,Zygophyllum retrofractum Thunb.,C.,P. villosa,C. tomentosa L.,C. tomentosa L.,C. tomentosa L.,1753
freq,1,1,1,834,8076,1,1,8076,8076,834,,164,26,42,,,116,755,123,517,22,518,1,737,1,1,12,,164,1,1,4491,1,1,1,1,1,1,1,1134,9,3,3,4,518
