,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author,publication_year
503190,60468511-2,Abies alba,Abies alba Mill.,Pinaceae,Species,381621,60468511-2,Species,Accepted,Pinaceae,,Abies,,alba,,,,Mill.,,"Gard. Dict., ed. 7.",: n.° 1,(1756),Abies alba,Mill.,381621,380361,L.,,381615,60468511-2,,Y,Abies alba,Abies alba Mill.,60468511-2,381621,Abies alba Mill.,Abies alba Mill.,Abies alba Mill.,A.,A. alba,A. alba Mill.,A. alba Mill.,A. alba Mill.,1756
713434,676570-1,Abies forrestii,Abies forrestii Coltm.-Rog.,Pinaceae,Species,381784,676570-1,Species,Accepted,Pinaceae,,Abies,,forrestii,,,,Coltm.-Rog.,,Gard. Chron.,", ser. 3, 65: 150",(1919),Abies forrestii,Coltm.-Rog.,381784,,,,381615,676570-1,,Y,Abies forrestii,Abies forrestii Coltm.-Rog.,676570-1,381784,Abies forrestii Coltm.-Rog.,Abies forrestii Coltm.-Rog.,Abies forrestii Coltm.-Rog.,A.,A. forrestii,A. forrestii Coltm.-Rog.,A. forrestii Coltm.-Rog.,A. forrestii Coltm.-Rog.,1919
46831,1033427-2,Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.,Pinaceae,Species,381804,1033427-2,Species,Accepted,Pinaceae,,Abies,,grandis,,,Douglas ex D.Don,Lindl.,,Penny Cyclop., 1: 30,(1833),Abies grandis,(Douglas ex D.Don) Lindl.,381804,379887,,,381615,1033427-2,,Y,Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.,1033427-2,381804,Abies grandis (Douglas ex D.Don) Lindl.,Abies grandis Douglas ex D.Don Lindl.,Abies grandis Lindl.,A.,A. grandis,A. grandis (Douglas ex D.Don) Lindl.,A. grandis Douglas ex D.Don Lindl.,A. grandis Lindl.,1833
377365,1081948-2,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,Pinaceae,Species,381853,1081948-2,Species,Accepted,Pinaceae,,Abies,,lasiocarpa,,,Hook.,Nutt.,,N. Amer. Sylv., 3: 138,(1849),Abies lasiocarpa,(Hook.) Nutt.,381853,379687,,,381615,1081948-2,,Y,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,1081948-2,381853,Abies lasiocarpa (Hook.) Nutt.,Abies lasiocarpa Hook. Nutt.,Abies lasiocarpa Nutt.,A.,A. lasiocarpa,A. lasiocarpa (Hook.) Nutt.,A. lasiocarpa Hook. Nutt.,A. lasiocarpa Nutt.,1849
548495,580080-1,Abuta rufescens,Abuta rufescens Aubl.,Menispermaceae,Species,2610404,580080-1,Species,Accepted,Menispermaceae,,Abuta,,rufescens,,,,Aubl.,,Hist. Pl. Guiane, 1: 618,(1775),Abuta rufescens,Aubl.,2610404,,,,2610358,580080-1,,N,Abuta rufescens,Abuta rufescens Aubl.,580080-1,2610404,Abuta rufescens Aubl.,Abuta rufescens Aubl.,Abuta rufescens Aubl.,A.,A. rufescens,A. rufescens Aubl.,A. rufescens Aubl.,A. rufescens Aubl.,1775
401905,558069-1,Abutilon albidum,Abutilon albidum (Willd.) Sweet,Malvaceae,Species,2610437,558069-1,Species,Accepted,Malvaceae,,Abutilon,,albidum,,,Willd.,Sweet,,Hort. Brit.,: 54,(1826),Abutilon albidum,(Willd.) Sweet,2610437,2588293,,,2610430,558069-1,,N,Abutilon albidum,Abutilon albidum (Willd.) Sweet,558069-1,2610437,Abutilon albidum (Willd.) Sweet,Abutilon albidum Willd. Sweet,Abutilon albidum Sweet,A.,A. albidum,A. albidum (Willd.) Sweet,A. albidum Willd. Sweet,A. albidum Sweet,1826
615462,558164-1,Abutilon cryptopetalum,Abutilon cryptopetalum (F.Muell.) Benth.,Malvaceae,Species,2610559,558164-1,Species,Accepted,Malvaceae,,Abutilon,,cryptopetalum,,,F.Muell.,Benth.,,Fl. Austral., 1: 201,(1863),Abutilon cryptopetalum,(F.Muell.) Benth.,2610559,2595693,,,2610430,558164-1,,N,Abutilon cryptopetalum,Abutilon cryptopetalum (F.Muell.) Benth.,558164-1,2610559,Abutilon cryptopetalum (F.Muell.) Benth.,Abutilon cryptopetalum F.Muell. Benth.,Abutilon cryptopetalum Benth.,A.,A. cryptopetalum,A. cryptopetalum (F.Muell.) Benth.,A. cryptopetalum F.Muell. Benth.,A. cryptopetalum Benth.,1863
77494,1196159-2,Abutilon incanum,Abutilon incanum (Link) Sweet,Malvaceae,Species,2610695,1196159-2,Species,Accepted,Malvaceae,,Abutilon,,incanum,,,Link,Sweet,,Hort. Brit.,: 53,(1826),Abutilon incanum,(Link) Sweet,2610695,2595481,,,2610430,1196159-2,,N,Abutilon incanum,Abutilon incanum (Link) Sweet,1196159-2,2610695,Abutilon incanum (Link) Sweet,Abutilon incanum Link Sweet,Abutilon incanum Sweet,A.,A. incanum,A. incanum (Link) Sweet,A. incanum Link Sweet,A. incanum Sweet,1826
619743,558340-1,Abutilon macrocarpum,Abutilon macrocarpum Guill. & Perr.,Malvaceae,Species,2610764,558340-1,Species,Accepted,Malvaceae,,Abutilon,,macrocarpum,,,,Guill. & Perr.,,Fl. Seneg. Tent.,: 69,(1831),Abutilon macrocarpum,Guill. & Perr.,2610764,,,,2610430,558340-1,,N,Abutilon macrocarpum,Abutilon macrocarpum Guill. & Perr.,558340-1,2610764,Abutilon macrocarpum Guill. & Perr.,Abutilon macrocarpum Guill. & Perr.,Abutilon macrocarpum Guill. & Perr.,A.,A. macrocarpum,A. macrocarpum Guill. & Perr.,A. macrocarpum Guill. & Perr.,A. macrocarpum Guill. & Perr.,1831
674915,469663-1,Acacia adunca,Acacia adunca A.Cunn. ex G.Don,Fabaceae,Species,2611144,469663-1,Species,Accepted,Fabaceae,,Acacia,,adunca,,,,A.Cunn. ex G.Don,,Gen. Hist., 2: 406,(1832),Acacia adunca,A.Cunn. ex G.Don,2611144,,,,2611079,469663-1,,Y,Acacia adunca,Acacia adunca A.Cunn. ex G.Don,469663-1,2611144,Acacia adunca A.Cunn. ex G.Don,Acacia adunca A.Cunn. ex G.Don,Acacia adunca A.Cunn. ex G.Don,A.,A. adunca,A. adunca A.Cunn. ex G.Don,A. adunca A.Cunn. ex G.Don,A. adunca A.Cunn. ex G.Don,1832
679278,469699-1,Acacia amoena,Acacia amoena H.L.Wendl.,Fabaceae,Species,2611193,469699-1,Species,Accepted,Fabaceae,,Acacia,,amoena,,,,H.L.Wendl.,,Comm. Acac. Aphyll.,: 16,(1820),Acacia amoena,H.L.Wendl.,2611193,,,,2611079,469699-1,,Y,Acacia amoena,Acacia amoena H.L.Wendl.,469699-1,2611193,Acacia amoena H.L.Wendl.,Acacia amoena H.L.Wendl.,Acacia amoena H.L.Wendl.,A.,A. amoena,A. amoena H.L.Wendl.,A. amoena H.L.Wendl.,A. amoena H.L.Wendl.,1820
675307,469707-1,Acacia anceps,Acacia anceps DC.,Fabaceae,Species,2611205,469707-1,Species,Accepted,Fabaceae,,Acacia,,anceps,,,,DC.,,Mém. Légum.,: 446,(1827),Acacia anceps,DC.,2611205,,,,2611079,469707-1,,Y,Acacia anceps,Acacia anceps DC.,469707-1,2611205,Acacia anceps DC.,Acacia anceps DC.,Acacia anceps DC.,A.,A. anceps,A. anceps DC.,A. anceps DC.,A. anceps DC.,1827
625917,469816-1,Acacia baxteri,Acacia baxteri Benth.,Fabaceae,Species,2611411,469816-1,Species,Accepted,Fabaceae,,Acacia,,baxteri,,,,Benth.,,London J. Bot., 1: 327,(1842),Acacia baxteri,Benth.,2611411,,,,2611079,469816-1,,Y,Acacia baxteri,Acacia baxteri Benth.,469816-1,2611411,Acacia baxteri Benth.,Acacia baxteri Benth.,Acacia baxteri Benth.,A.,A. baxteri,A. baxteri Benth.,A. baxteri Benth.,A. baxteri Benth.,1842
674956,469825-1,Acacia benthamii,Acacia benthamii Meisn.,Fabaceae,Species,2611419,469825-1,Species,Accepted,Fabaceae,,Acacia,,benthamii,,,,Meisn.,J.G.C.Lehmann,Pl. Preiss., 1: 11,(1844),Acacia benthamii,Meisn.,2611419,,,,2611079,469825-1,,Y,Acacia benthamii,Acacia benthamii Meisn.,469825-1,2611419,Acacia benthamii Meisn.,Acacia benthamii Meisn.,Acacia benthamii Meisn.,A.,A. benthamii,A. benthamii Meisn.,A. benthamii Meisn.,A. benthamii Meisn.,1844
677896,469837-1,Acacia biflora,Acacia biflora R.Br.,Fabaceae,Species,2611440,469837-1,Species,Accepted,Fabaceae,,Acacia,,biflora,,,,R.Br.,W.T.Aiton,Hortus Kew., 5: 463,(1814),Acacia biflora,R.Br.,2611440,,,,2611079,469837-1,,Y,Acacia biflora,Acacia biflora R.Br.,469837-1,2611440,Acacia biflora R.Br.,Acacia biflora R.Br.,Acacia biflora R.Br.,A.,A. biflora,A. biflora R.Br.,A. biflora R.Br.,A. biflora R.Br.,1814
626926,469845-1,Acacia binervata,Acacia binervata DC.,Fabaceae,Species,2611449,469845-1,Species,Accepted,Fabaceae,,Acacia,,binervata,,,,DC.,,Prodr., 2: 452,(1825),Acacia binervata,DC.,2611449,,,,2611079,469845-1,,Y,Acacia binervata,Acacia binervata DC.,469845-1,2611449,Acacia binervata DC.,Acacia binervata DC.,Acacia binervata DC.,A.,A. binervata,A. binervata DC.,A. binervata DC.,A. binervata DC.,1825
677898,469929-1,Acacia camptoclada,Acacia camptoclada C.R.P.Andrews,Fabaceae,Species,2611581,469929-1,Species,Accepted,Fabaceae,,Acacia,,camptoclada,,,,C.R.P.Andrews,,J. Western Australia Nat. Hist. Soc., 1: 39,(1904),Acacia camptoclada,C.R.P.Andrews,2611581,,,,2611079,469929-1,,Y,Acacia camptoclada,Acacia camptoclada C.R.P.Andrews,469929-1,2611581,Acacia camptoclada C.R.P.Andrews,Acacia camptoclada C.R.P.Andrews,Acacia camptoclada C.R.P.Andrews,A.,A. camptoclada,A. camptoclada C.R.P.Andrews,A. camptoclada C.R.P.Andrews,A. camptoclada C.R.P.Andrews,1904
625607,470014-1,Acacia cognata,Acacia cognata Domin,Fabaceae,Species,2611707,470014-1,Species,Accepted,Fabaceae,,Acacia,,cognata,,,,Domin,,Biblioth. Bot., 22(89): 260,(1926),Acacia cognata,Domin,2611707,,,,2611079,470014-1,,Y,Acacia cognata,Acacia cognata Domin,470014-1,2611707,Acacia cognata Domin,Acacia cognata Domin,Acacia cognata Domin,A.,A. cognata,A. cognata Domin,A. cognata Domin,A. cognata Domin,1926
