,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author,publication_year
count,62224,62511,62511,62511,62511,62511,59703,62511,62511,62511,2,62511,186,62511,0,0,9620,62511,7260,62497,62488,62486,62511,62511,62511,11871,2254,14128,8076,62511,41,62509,62511,62511,62460,62511,62511,62511,62511,62511,62511,62511,62511,62511,62486
unique,40286,40461,40461,305,7,62511,59703,1,3,280,1,3262,1,7895,0,0,1553,7806,484,4407,25579,499,28992,13464,40461,10847,602,1,1553,62511,39,2,38178,38178,38147,38178,62511,62511,62308,26,19727,61851,61851,61531,271
top,731955-1,Rosa canina,Rosa canina L.,Asteraceae,Species,466437,77116345-1,Species,Illegitimate,Asteraceae,×,Carex,×,gracilis,,,L.,L.,A.P.de Candolle,Prodr.,: 21,(1753),Artemisia rupestris,L.,2921968,3170455,L.,T,224198,77116345-1,S. triandra × S. viminalis,N,Rosa canina,Rosa canina L.,731955-1,2921968,× Laeliocattleya felix (L.C.Menezes) J.M.H.Shaw,× Laeliocattleya felix L.C.Menezes J.M.H.Shaw,Androcymbium punctatum Baker,C.,C. gracilis,A. pubescens Willd.,A. pubescens Willd.,A. pubescens Willd.,1753
freq,29,29,29,6628,51979,1,1,62511,28353,6630,2,832,186,372,,,941,1843,835,1853,109,1102,8,1780,29,4,469,14128,164,1,2,35753,29,29,29,29,1,1,2,8724,66,6,6,6,1102
