,Region,Number of Taxa
0,ABT,748
1,AFG,1223
2,AGE,1510
3,AGS,596
4,AGW,1329
5,ALA,1409
6,ALB,2148
7,ALD,100
8,ALG,1774
9,ALT,1284
10,ALU,179
11,AMU,639
12,AND,826
13,ANG,1280
14,ANT,1
15,ARI,1058
16,ARK,1055
17,ARU,172
18,ASC,20
19,ASK,622
20,ASP,9
21,ASS,2241
22,ATP,64
23,AUT,2062
24,AZO,352
25,BAH,519
26,BAL,894
27,BAN,1892
28,BEN,756
29,BER,120
30,BGM,1237
31,BIS,484
32,BKN,683
33,BLR,1053
34,BLT,1060
35,BLZ,1367
36,BOL,2956
37,BOR,1865
38,BOT,728
39,BRC,999
40,BRY,871
41,BUL,2306
42,BUR,767
43,BZC,2024
44,BZE,2243
45,BZL,3000
46,BZN,2112
47,BZS,2076
48,CAB,99
49,CAF,885
50,CAL,1291
51,CAY,313
52,CBD,1412
53,CGS,34
54,CHA,807
55,CHC,3370
56,CHH,1251
57,CHI,1001
58,CHM,951
59,CHN,1478
60,CHQ,552
61,CHS,2530
62,CHT,1549
63,CHX,1169
64,CKI,53
65,CLC,866
66,CLM,3530
67,CLN,446
68,CLS,476
69,CMN,1251
70,CNT,927
71,CNY,686
72,COL,998
73,COM,391
74,CON,743
75,COO,125
76,COR,1438
77,COS,2254
78,CPI,110
79,CPP,3049
80,CPV,181
81,CRL,403
82,CRZ,8
83,CTA,739
84,CTM,131
85,CUB,1747
86,CVI,304
87,CYP,908
88,CZE,1875
89,DEL,881
90,DEN,983
91,DJI,337
92,DOM,1457
93,DSV,11
94,EAI,1128
95,EAS,23
96,ECU,2745
97,EGY,839
98,EHM,2378
99,ELS,1277
100,EQG,283
101,ERI,764
102,ETH,1406
103,FAL,81
104,FIJ,413
105,FIN,926
106,FLA,1417
107,FOR,243
108,FRA,3139
109,FRG,1386
110,GAB,785
111,GAL,280
112,GAM,362
113,GEO,1413
114,GER,2016
115,GGI,576
116,GHA,851
117,GIL,60
118,GNB,519
119,GNL,303
120,GRB,1234
121,GRC,2511
122,GST,369
123,GUA,2224
124,GUI,889
125,GUY,1612
126,HAI,1337
127,HAW,216
128,HBI,7
129,HMD,3
130,HON,2101
131,HUN,1579
132,ICE,331
133,IDA,849
134,ILL,1146
135,IND,2756
136,INI,1048
137,IOW,820
138,IRE,793
139,IRK,866
140,IRN,2204
141,IRQ,1229
142,ITA,3195
143,IVO,921
144,JAM,1371
145,JAP,1457
146,JAW,2097
147,JNF,89
148,KAM,551
149,KAN,854
150,KAZ,1801
151,KEG,13
152,KEN,1476
153,KER,53
154,KGZ,1081
155,KHA,779
156,KOR,1161
157,KRA,1063
158,KRI,1057
159,KRY,1391
160,KTY,1072
161,KUR,494
162,KUW,197
163,KZN,99
164,LAB,392
165,LAO,1610
166,LBR,633
167,LBS,1646
168,LBY,951
169,LDV,129
170,LEE,1119
171,LES,451
172,LIN,27
173,LOU,1155
174,LSI,1319
175,MAG,550
176,MAI,871
177,MAN,713
178,MAQ,14
179,MAS,960
180,MAU,473
181,MCI,43
182,MCS,5
183,MDG,1241
184,MDR,502
185,MDV,109
186,MIC,1011
187,MIN,942
188,MLI,684
189,MLW,1103
190,MLY,2228
191,MNT,918
192,MOL,1092
193,MON,1144
194,MOR,1855
195,MOZ,1342
196,MPE,6
197,MRN,249
198,MRQ,119
199,MRS,77
200,MRY,1207
201,MSI,1140
202,MSO,1039
203,MTN,492
204,MXC,2197
205,MXE,2673
206,MXG,2528
207,MXI,96
208,MXN,1805
209,MXS,2976
210,MXT,2516
211,MYA,2872
212,NAM,819
213,NAT,1225
214,NBR,609
215,NCA,1405
216,NCB,609
217,NCS,2005
218,NDA,593
219,NEB,762
220,NEP,2197
221,NET,1095
222,NEV,798
223,NFK,118
224,NFL,525
225,NGA,1137
226,NGR,475
227,NIC,1882
228,NLA,279
229,NNS,758
230,NOR,1088
231,NRU,37
232,NSC,590
233,NSW,968
234,NTA,739
235,NUE,106
236,NUN,339
237,NWC,500
238,NWG,1757
239,NWH,834
240,NWJ,1068
241,NWM,1145
242,NWT,534
243,NWY,1211
244,NZN,357
245,NZS,368
246,OFS,682
247,OGA,149
248,OHI,1043
249,OKL,1073
250,OMA,559
251,ONT,1099
252,ORE,1021
253,PAK,1760
254,PAL,1270
255,PAN,2085
256,PAR,1477
257,PEI,403
258,PEN,1143
259,PER,3172
260,PHI,2121
261,PHX,17
262,PIT,52
263,POL,1642
264,POR,1601
265,PRM,797
266,PUE,1180
267,QLD,1438
268,QUE,975
269,REU,454
270,RHO,759
271,ROD,111
272,ROM,2135
273,RUC,1268
274,RUE,1453
275,RUN,993
276,RUS,1333
277,RUW,962
278,RWA,731
279,SAK,550
280,SAM,295
281,SAR,1277
282,SAS,642
283,SAU,898
284,SCA,1280
285,SCI,213
286,SCS,146
287,SCZ,104
288,SDA,744
289,SEL,58
290,SEN,783
291,SEY,206
292,SGE,12
293,SIC,1515
294,SIE,730
295,SIN,597
296,SOA,482
297,SOC,277
298,SOL,630
299,SOM,750
300,SPA,3010
301,SRL,1626
302,SSA,1
303,STH,39
304,SUD,1319
305,SUL,1395
306,SUM,1900
307,SUR,1338
308,SVA,103
309,SWC,163
310,SWE,1266
311,SWI,1918
312,SWZ,771
313,TAI,1525
314,TAN,1760
315,TAS,403
316,TCI,207
317,TCS,2325
318,TDC,39
319,TEN,1209
320,TEX,1691
321,THA,2777
322,TKM,888
323,TOG,687
324,TOK,41
325,TON,224
326,TRT,1220
327,TUA,76
328,TUB,142
329,TUE,1428
330,TUN,1306
331,TUR,3076
332,TUV,31
333,TVA,799
334,TVL,1251
335,TZK,1066
336,UGA,1234
337,UKR,1969
338,URU,836
339,UTA,919
340,UZB,1037
341,VAN,490
342,VEN,3065
343,VER,864
344,VIC,610
