,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author,publication_year
count,961267,964205,964205,964205,964205,964191,964191,964191,963916,964191,964205,949802,964205,964205,964205,1114,964205,13674,964205,0,0,272534,964201,85907,964050,963799,963839,42350,360045,326385,401356,964205,964204,964205,302074,29511,229947,360044,964205,7812,964101,964205,964205,963350,964205,964205,964205,964205,964205,964205,964205,964205,964205,963838
unique,388289,389410,389410,457,8,28821,28825,28825,28817,2,964205,949802,1,3,458,2,33797,1,170377,0,0,14852,60220,1610,12096,190193,930,458,57887,356,8,930686,160158,389410,206624,4265,1,14081,964205,7407,2,360553,360553,360082,360553,964205,964205,964002,26,443864,936444,936444,925877,272
top,895770-1,Pandanus tectorius,Pandanus tectorius Parkinson,Asteraceae,Species,Astragalus,Astragalus L.,2657136,330028-2,Genus,3164602,17069810-1,Species,Synonym,Asteraceae,×,Hieracium,×,gracilis,,,L.,Kuntze,A.P.de Candolle,Revis. Gen. Pl.,: 26,(1891),", nom. illeg.",Madagascar,perennial,wet tropical,Artemisia rupestris,L.,285436,427963,L.,T,3133984,17069810-1,S. alba × S. euxina,N,Pandanus tectorius,Pandanus tectorius Parkinson,895770-1,285436,Cincinalis tomentosa Desv.,Cincinalis tomentosa Desv.,Rapuntium coloratum C.Presl,C.,C. gracilis,C. bequaertii De Wild.,C. bequaertii De Wild.,C. bequaertii De Wild.,1891
freq,249,249,249,90919,865397,7008,7008,7008,7008,865383,1,1,964205,564504,90904,1109,8468,13674,1995,,,13195,27532,9406,27366,579,30396,30824,5897,58942,158969,8,8002,249,16,2706,229947,4645,1,8,523435,249,249,249,249,1,1,2,124982,263,28,28,28,30494
