,Unnamed: 0,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,publication_year,taxon_names_with_authors,taxon_names_with_paranthet_authors,taxon_names_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author
5324,647816,77179697-1,Artemisia alba subsp. alba,Artemisia alba subsp. alba,Asteraceae,Subspecies,3107603,180052-1,Species,Illegitimate,Asteraceae,,Artemisia,,rupestris,,,,Scop.,,Fl. Carniol.,", ed. 2, 2: 146",(1771),Artemisia rupestris,Scop.,3107608,,,,,180052-1,,N,Artemisia alba,Artemisia alba Turra,60464254-2,3107585,1771,Artemisia rupestris Scop.,Artemisia rupestris Scop.,Artemisia rupestris Scop.,A.,A. rupestris,A. rupestris Scop.,A. rupestris Scop.,A. rupestris Scop.
5322,766284,179241-1,Artemisia atrata,Artemisia atrata Lam.,Asteraceae,Species,3107693,180049-1,Species,Illegitimate,Asteraceae,,Artemisia,,rupestris,,,,Vill.,,Hist. Pl. Dauphiné, 3(1): 246,(1788),Artemisia rupestris,Vill.,3107695,,,,,180049-1,,N,Artemisia atrata,Artemisia atrata Lam.,179241-1,3107695,1788,Artemisia rupestris Vill.,Artemisia rupestris Vill.,Artemisia rupestris Vill.,A.,A. rupestris,A. rupestris Vill.,A. rupestris Vill.,A. rupestris Vill.
5325,690613,179553-1,Artemisia granatensis,Artemisia granatensis Boiss.,Asteraceae,Species,3108102,180046-1,Species,Illegitimate,Asteraceae,,Artemisia,,rupestris,,,,Lag. & Rodr.,,Anales Ci. Nat., 5: 284,(1802),Artemisia rupestris,Lag. & Rodr.,3108103,,,,,180046-1,,N,Artemisia granatensis,Artemisia granatensis Boiss.,179553-1,3108103,1802,Artemisia rupestris Lag. & Rodr.,Artemisia rupestris Lag. & Rodr.,Artemisia rupestris Lag. & Rodr.,A.,A. rupestris,A. rupestris Lag. & Rodr.,A. rupestris Lag. & Rodr.,A. rupestris Lag. & Rodr.
5321,703774,77179577-1,Artemisia norvegica subsp. norvegica,Artemisia norvegica subsp. norvegica,Asteraceae,Subspecies,3108435,180053-1,Species,Illegitimate,Asteraceae,,Artemisia,,rupestris,,,,O.F.Müll.,G.C.Oeder & al. (eds.),Fl. Dan.,: t. 801,(1780),Artemisia rupestris,O.F.Müll.,3108436,,,,,180053-1,,N,Artemisia norvegica,Artemisia norvegica Fr.,301762-2,3108433,1780,Artemisia rupestris O.F.Müll.,Artemisia rupestris O.F.Müll.,Artemisia rupestris O.F.Müll.,A.,A. rupestris,A. rupestris O.F.Müll.,A. rupestris O.F.Müll.,A. rupestris O.F.Müll.
5319,673004,20009204-1,Artemisia pedemontana subsp. assoana,Artemisia pedemontana subsp. assoana (Willk.) Rivas Mart.,Asteraceae,Subspecies,3108533,180048-1,Species,Illegitimate,Asteraceae,,Artemisia,,rupestris,,,,Asso,,Syn. Stirp. Aragon.,: 117,(1779),Artemisia rupestris,Asso,3108534,,,,,180048-1,,N,Artemisia pedemontana,Artemisia pedemontana Balb.,179943-1,3198060,1779,Artemisia rupestris Asso,Artemisia rupestris Asso,Artemisia rupestris Asso,A.,A. rupestris,A. rupestris Asso,A. rupestris Asso,A. rupestris Asso
5323,1369004,180051-1,Artemisia rupestris,Artemisia rupestris L.,Asteraceae,Species,3108620,180051-1,Species,Accepted,Asteraceae,,Artemisia,,rupestris,,,,L.,,Sp. Pl.,: 847,(1753),Artemisia rupestris,L.,3108620,,,,3133635.0,180051-1,,N,Artemisia rupestris,Artemisia rupestris L.,180051-1,3108620,1753,Artemisia rupestris L.,Artemisia rupestris L.,Artemisia rupestris L.,A.,A. rupestris,A. rupestris L.,A. rupestris L.,A. rupestris L.
5326,1329067,180139-1,Artemisia splendens,Artemisia splendens Willd.,Asteraceae,Species,3108757,180050-1,Species,Illegitimate,Asteraceae,,Artemisia,,rupestris,,,,Lam.,,Encycl., 1: 262,(1783),Artemisia rupestris,Lam.,3108758,,,,,180050-1,,N,Artemisia splendens,Artemisia splendens Willd.,180139-1,3108758,1783,Artemisia rupestris Lam.,Artemisia rupestris Lam.,Artemisia rupestris Lam.,A.,A. rupestris,A. rupestris Lam.,A. rupestris Lam.,A. rupestris Lam.
5320,716057,77179610-1,Artemisia umbelliformis subsp. umbelliformis,Artemisia umbelliformis subsp. umbelliformis,Asteraceae,Subspecies,3108855,180047-1,Species,Illegitimate,Asteraceae,,Artemisia,,rupestris,,,,All.,,Fl. Pedem., 1: 169,(1785),Artemisia rupestris,All.,3108858,,,,,180047-1,,N,Artemisia umbelliformis,Artemisia umbelliformis Lam.,180243-1,3108845,1785,Artemisia rupestris All.,Artemisia rupestris All.,Artemisia rupestris All.,A.,A. rupestris,A. rupestris All.,A. rupestris All.,A. rupestris All.
