,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author,publication_year
count,56866,57122,57122,57122,57122,57122,54753,57122,57122,57122,2,57122,89,57122,0,0,8604,57122,6679,57109,57100,57098,57122,57122,57122,10634,2033,13322,7535,57122,25,57120,57122,57122,57083,57122,57122,57122,57122,57122,57122,57122,57122,57122,57098
unique,38758,38921,38921,293,7,57122,54753,1,3,266,1,2843,1,7130,0,0,1442,6880,448,4078,23675,475,26316,11952,38921,9910,561,1,1423,57122,24,2,36948,36948,36921,36948,57122,57122,56951,26,17998,56532,56532,56259,271
top,77231945-1,Salix myrsinifolia subsp. myrsinifolia,Salix myrsinifolia subsp. myrsinifolia,Asteraceae,Species,466437,77116345-1,Species,Illegitimate,Asteraceae,×,Carex,×,gracilis,,,L.,L.,A.P.de Candolle,Prodr.,: 21,(1753),Artemisia rupestris,L.,3265725,3170455,L.,T,224198,77116345-1,S. appendiculata × S. purpurea,N,Salix myrsinifolia,Salix myrsinifolia Salisb.,778243-1,2919886,× Laeliocattleya felix (L.C.Menezes) J.M.H.Shaw,× Laeliocattleya felix L.C.Menezes J.M.H.Shaw,Micromeria lanata Benth.,C.,C. gracilis,A. pubescens Willd.,A. pubescens Willd.,A. pubescens Willd.,1753
freq,24,24,24,5915,47817,1,1,57122,26584,5916,2,806,89,350,,,861,1768,752,1685,103,1073,8,1709,24,4,432,13322,161,1,2,32270,26,26,26,26,1,1,2,7836,64,6,6,6,1073
