,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,publication_year,taxon_names_with_authors,taxon_names_with_paranthet_authors,taxon_names_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author
count,7662,7671,7671,7671,7671,7671,7662,7671,7671,7671,0,7671,17,7671,0,0,851,7671,881,7670,7666,7667,7671,7671,7671,998,147,0,7671,7671,18,7671,7671,7671,7662,7671,7667,7671,7671,7671,7671,7671,7671,7671,7671
unique,7662,7671,7671,219,1,7671,7662,1,1,219,0,1440,1,3609,0,0,299,1605,157,1353,5025,316,7671,2166,7671,998,103,0,1440,7671,18,2,7671,7671,7662,7671,262,7671,7671,7671,26,6667,7637,7637,7636
top,60468511-2,Abies alba,Abies alba Mill.,Asteraceae,Species,381621,60468511-2,Species,Accepted,Asteraceae,,Carex,×,angustifolia,,,L.,L.,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Sp. Pl.,: 13,(1753),Abies alba,L.,381621,380361,L.,,224198,60468511-2,Anthemis cotula × Cota tinctoria,N,Abies alba,Abies alba Mill.,60468511-2,381621,1753,Abies alba Mill.,Abies alba Mill.,Abies alba Mill.,C.,P. villosa,C. tomentosa L.,C. tomentosa L.,C. tomentosa L.
freq,1,1,1,694,7671,1,1,7671,7671,694,,161,17,39,,,111,739,119,508,20,509,1,721,1,1,12,,161,1,1,4173,1,1,1,1,509,1,1,1,1053,9,3,3,4
