,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,publication_year,taxon_names_with_authors,taxon_names_with_paranthet_authors,taxon_names_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author
625917,469816-1,Acacia baxteri,Acacia baxteri Benth.,Fabaceae,Species,2611411,469816-1,Species,Accepted,Fabaceae,,Acacia,,baxteri,,,,Benth.,,London J. Bot., 1: 327,(1842),Acacia baxteri,Benth.,2611411,,,,2611079,469816-1,,Y,Acacia baxteri,Acacia baxteri Benth.,469816-1,2611411,1842,Acacia baxteri Benth.,Acacia baxteri Benth.,Acacia baxteri Benth.,A.,A. baxteri,A. baxteri Benth.,A. baxteri Benth.,A. baxteri Benth.
674956,469825-1,Acacia benthamii,Acacia benthamii Meisn.,Fabaceae,Species,2611419,469825-1,Species,Accepted,Fabaceae,,Acacia,,benthamii,,,,Meisn.,J.G.C.Lehmann,Pl. Preiss., 1: 11,(1844),Acacia benthamii,Meisn.,2611419,,,,2611079,469825-1,,Y,Acacia benthamii,Acacia benthamii Meisn.,469825-1,2611419,1844,Acacia benthamii Meisn.,Acacia benthamii Meisn.,Acacia benthamii Meisn.,A.,A. benthamii,A. benthamii Meisn.,A. benthamii Meisn.,A. benthamii Meisn.
677896,469837-1,Acacia biflora,Acacia biflora R.Br.,Fabaceae,Species,2611440,469837-1,Species,Accepted,Fabaceae,,Acacia,,biflora,,,,R.Br.,W.T.Aiton,Hortus Kew., 5: 463,(1814),Acacia biflora,R.Br.,2611440,,,,2611079,469837-1,,Y,Acacia biflora,Acacia biflora R.Br.,469837-1,2611440,1814,Acacia biflora R.Br.,Acacia biflora R.Br.,Acacia biflora R.Br.,A.,A. biflora,A. biflora R.Br.,A. biflora R.Br.,A. biflora R.Br.
626926,469845-1,Acacia binervata,Acacia binervata DC.,Fabaceae,Species,2611449,469845-1,Species,Accepted,Fabaceae,,Acacia,,binervata,,,,DC.,,Prodr., 2: 452,(1825),Acacia binervata,DC.,2611449,,,,2611079,469845-1,,Y,Acacia binervata,Acacia binervata DC.,469845-1,2611449,1825,Acacia binervata DC.,Acacia binervata DC.,Acacia binervata DC.,A.,A. binervata,A. binervata DC.,A. binervata DC.,A. binervata DC.
677898,469929-1,Acacia camptoclada,Acacia camptoclada C.R.P.Andrews,Fabaceae,Species,2611581,469929-1,Species,Accepted,Fabaceae,,Acacia,,camptoclada,,,,C.R.P.Andrews,,J. Western Australia Nat. Hist. Soc., 1: 39,(1904),Acacia camptoclada,C.R.P.Andrews,2611581,,,,2611079,469929-1,,Y,Acacia camptoclada,Acacia camptoclada C.R.P.Andrews,469929-1,2611581,1904,Acacia camptoclada C.R.P.Andrews,Acacia camptoclada C.R.P.Andrews,Acacia camptoclada C.R.P.Andrews,A.,A. camptoclada,A. camptoclada C.R.P.Andrews,A. camptoclada C.R.P.Andrews,A. camptoclada C.R.P.Andrews
625607,470014-1,Acacia cognata,Acacia cognata Domin,Fabaceae,Species,2611707,470014-1,Species,Accepted,Fabaceae,,Acacia,,cognata,,,,Domin,,Biblioth. Bot., 22(89): 260,(1926),Acacia cognata,Domin,2611707,,,,2611079,470014-1,,Y,Acacia cognata,Acacia cognata Domin,470014-1,2611707,1926,Acacia cognata Domin,Acacia cognata Domin,Acacia cognata Domin,A.,A. cognata,A. cognata Domin,A. cognata Domin,A. cognata Domin
678855,470018-1,Acacia colletioides,Acacia colletioides A.Cunn. ex Benth.,Fabaceae,Species,2611712,470018-1,Species,Accepted,Fabaceae,,Acacia,,colletioides,,,,A.Cunn. ex Benth.,,London J. Bot., 1: 336,(1842),Acacia colletioides,A.Cunn. ex Benth.,2611712,,,,2611079,470018-1,,Y,Acacia colletioides,Acacia colletioides A.Cunn. ex Benth.,470018-1,2611712,1842,Acacia colletioides A.Cunn. ex Benth.,Acacia colletioides A.Cunn. ex Benth.,Acacia colletioides A.Cunn. ex Benth.,A.,A. colletioides,A. colletioides A.Cunn. ex Benth.,A. colletioides A.Cunn. ex Benth.,A. colletioides A.Cunn. ex Benth.
624989,470130-1,Acacia dealbata,Acacia dealbata Link,Fabaceae,Species,2611879,470130-1,Species,Accepted,Fabaceae,,Acacia,,dealbata,,,,Link,,Enum. Hort. Berol. Alt., 1: 445,(1821),Acacia dealbata,Link,2611879,,,,2611079,470130-1,,Y,Acacia dealbata,Acacia dealbata Link,470130-1,2611879,1821,Acacia dealbata Link,Acacia dealbata Link,Acacia dealbata Link,A.,A. dealbata,A. dealbata Link,A. dealbata Link,A. dealbata Link
676066,470151-1,Acacia densiflora,Acacia densiflora Morrison,Fabaceae,Species,2611933,470151-1,Species,Accepted,Fabaceae,,Acacia,,densiflora,,,,Morrison,,Scott. Bot. Rev., 1: 96,(1912),Acacia densiflora,Morrison,2611933,,,,2611079,470151-1,,Y,Acacia densiflora,Acacia densiflora Morrison,470151-1,2611933,1912,Acacia densiflora Morrison,Acacia densiflora Morrison,Acacia densiflora Morrison,A.,A. densiflora,A. densiflora Morrison,A. densiflora Morrison,A. densiflora Morrison
674438,470208-1,Acacia doratoxylon,Acacia doratoxylon A.Cunn.,Fabaceae,Species,2612021,470208-1,Species,Accepted,Fabaceae,,Acacia,,doratoxylon,,,,A.Cunn.,B.Field,Geogr. Mem. New South Wales,: 345,(1825),Acacia doratoxylon,A.Cunn.,2612021,,,,2611079,470208-1,,Y,Acacia doratoxylon,Acacia doratoxylon A.Cunn.,470208-1,2612021,1825,Acacia doratoxylon A.Cunn.,Acacia doratoxylon A.Cunn.,Acacia doratoxylon A.Cunn.,A.,A. doratoxylon,A. doratoxylon A.Cunn.,A. doratoxylon A.Cunn.,A. doratoxylon A.Cunn.
628554,470237-1,Acacia elata,Acacia elata A.Cunn. ex Benth.,Fabaceae,Species,2612073,470237-1,Species,Accepted,Fabaceae,,Acacia,,elata,,,,A.Cunn. ex Benth.,,London J. Bot., 1: 383,(1842),Acacia elata,A.Cunn. ex Benth.,2612073,,,,2611079,470237-1,,Y,Acacia elata,Acacia elata A.Cunn. ex Benth.,470237-1,2612073,1842,Acacia elata A.Cunn. ex Benth.,Acacia elata A.Cunn. ex Benth.,Acacia elata A.Cunn. ex Benth.,A.,A. elata,A. elata A.Cunn. ex Benth.,A. elata A.Cunn. ex Benth.,A. elata A.Cunn. ex Benth.
268131,470299-1,Acacia falcata,Acacia falcata Willd.,Fabaceae,Species,2612161,470299-1,Species,Accepted,Fabaceae,,Acacia,,falcata,,,,Willd.,,"Sp. Pl., ed. 4.", 4: 1053,(1806),Acacia falcata,Willd.,2612161,2373667,J.C.Wendl.,,2611079,470299-1,,Y,Acacia falcata,Acacia falcata Willd.,470299-1,2612161,1806,Acacia falcata Willd.,Acacia falcata Willd.,Acacia falcata Willd.,A.,A. falcata,A. falcata Willd.,A. falcata Willd.,A. falcata Willd.
167496,470519-1,Acacia heterophylla,Acacia heterophylla (Lam.) Willd.,Fabaceae,Species,2612466,470519-1,Species,Accepted,Fabaceae,,Acacia,,heterophylla,,,Lam.,Willd.,,"Sp. Pl., ed. 4.", 4: 1054,(1806),Acacia heterophylla,(Lam.) Willd.,2612466,2375128,,,2611079,470519-1,,Y,Acacia heterophylla,Acacia heterophylla (Lam.) Willd.,470519-1,2612466,1806,Acacia heterophylla (Lam.) Willd.,Acacia heterophylla Lam. Willd.,Acacia heterophylla Willd.,A.,A. heterophylla,A. heterophylla (Lam.) Willd.,A. heterophylla Lam. Willd.,A. heterophylla Willd.
675200,470559-1,Acacia humifusa,Acacia humifusa A.Cunn. ex Benth.,Fabaceae,Species,2612523,470559-1,Species,Accepted,Fabaceae,,Acacia,,humifusa,,,,A.Cunn. ex Benth.,,London J. Bot., 1: 382,(1842),Acacia humifusa,A.Cunn. ex Benth.,2612523,,,,2611079,470559-1,,Y,Acacia humifusa,Acacia humifusa A.Cunn. ex Benth.,470559-1,2612523,1842,Acacia humifusa A.Cunn. ex Benth.,Acacia humifusa A.Cunn. ex Benth.,Acacia humifusa A.Cunn. ex Benth.,A.,A. humifusa,A. humifusa A.Cunn. ex Benth.,A. humifusa A.Cunn. ex Benth.,A. humifusa A.Cunn. ex Benth.
676153,470632-1,Acacia julifera,Acacia julifera Benth.,Fabaceae,Species,2612621,470632-1,Species,Accepted,Fabaceae,,Acacia,,julifera,,,,Benth.,,London J. Bot., 1: 374,(1842),Acacia julifera,Benth.,2612621,,,,2611079,470632-1,,Y,Acacia julifera,Acacia julifera Benth.,470632-1,2612621,1842,Acacia julifera Benth.,Acacia julifera Benth.,Acacia julifera Benth.,A.,A. julifera,A. julifera Benth.,A. julifera Benth.,A. julifera Benth.
675832,470700-1,Acacia latifolia,Acacia latifolia Benth.,Fabaceae,Species,2612719,470700-1,Species,Accepted,Fabaceae,,Acacia,,latifolia,,,,Benth.,,London J. Bot., 1: 382,(1842),Acacia latifolia,Benth.,2612719,,,,2611079,470700-1,,Y,Acacia latifolia,Acacia latifolia Benth.,470700-1,2612719,1842,Acacia latifolia Benth.,Acacia latifolia Benth.,Acacia latifolia Benth.,A.,A. latifolia,A. latifolia Benth.,A. latifolia Benth.,A. latifolia Benth.
101567,470782-1,Acacia longifolia,Acacia longifolia (Andrews) Willd.,Fabaceae,Species,2612825,470782-1,Species,Accepted,Fabaceae,,Acacia,,longifolia,,,Andrews,Willd.,,"Sp. Pl., ed. 4.", 4: 1052,(1806),Acacia longifolia,(Andrews) Willd.,2612825,2374708,,,2611079,470782-1,,Y,Acacia longifolia,Acacia longifolia (Andrews) Willd.,470782-1,2612825,1806,Acacia longifolia (Andrews) Willd.,Acacia longifolia Andrews Willd.,Acacia longifolia Willd.,A.,A. longifolia,A. longifolia (Andrews) Willd.,A. longifolia Andrews Willd.,A. longifolia Willd.
674319,470910-1,Acacia minutifolia,Acacia minutifolia F.Muell.,Fabaceae,Species,2613024,470910-1,Species,Accepted,Fabaceae,,Acacia,,minutifolia,,,,F.Muell.,,Fragm., 8: 243,(1874),Acacia minutifolia,F.Muell.,2613024,,,,2611079,470910-1,,Y,Acacia minutifolia,Acacia minutifolia F.Muell.,470910-1,2613024,1874,Acacia minutifolia F.Muell.,Acacia minutifolia F.Muell.,Acacia minutifolia F.Muell.,A.,A. minutifolia,A. minutifolia F.Muell.,A. minutifolia F.Muell.,A. minutifolia F.Muell.
626153,470927-1,Acacia montana,Acacia montana Benth.,Fabaceae,Species,2613054,470927-1,Species,Accepted,Fabaceae,,Acacia,,montana,,,,Benth.,,London J. Bot., 1: 360,(1842),Acacia montana,Benth.,2613054,,,,2611079,470927-1,,Y,Acacia montana,Acacia montana Benth.,470927-1,2613054,1842,Acacia montana Benth.,Acacia montana Benth.,Acacia montana Benth.,A.,A. montana,A. montana Benth.,A. montana Benth.,A. montana Benth.
677794,470929-1,Acacia monticola,Acacia monticola J.M.Black,Fabaceae,Species,2613057,470929-1,Species,Accepted,Fabaceae,,Acacia,,monticola,,,,J.M.Black,,Trans. & Proc. Roy. Soc. South Australia, 61: 246,(1937),Acacia monticola,J.M.Black,2613057,,,,2611079,470929-1,,Y,Acacia monticola,Acacia monticola J.M.Black,470929-1,2613057,1937,Acacia monticola J.M.Black,Acacia monticola J.M.Black,Acacia monticola J.M.Black,A.,A. monticola,A. monticola J.M.Black,A. monticola J.M.Black,A. monticola J.M.Black
628332,471079-1,Acacia paradoxa,Acacia paradoxa DC.,Fabaceae,Species,2613280,471079-1,Species,Accepted,Fabaceae,,Acacia,,paradoxa,,,,DC.,,Cat. Pl. Horti Monsp.,: 74,(1813),Acacia paradoxa,DC.,2613280,,,,2611079,471079-1,,Y,Acacia paradoxa,Acacia paradoxa DC.,471079-1,2613280,1813,Acacia paradoxa DC.,Acacia paradoxa DC.,Acacia paradoxa DC.,A.,A. paradoxa,A. paradoxa DC.,A. paradoxa DC.,A. paradoxa DC.
674441,471284-1,Acacia quadrilateralis,Acacia quadrilateralis DC.,Fabaceae,Species,2613577,471284-1,Species,Accepted,Fabaceae,,Acacia,,quadrilateralis,,,,DC.,,Prodr., 2: 451,(1825),Acacia quadrilateralis,DC.,2613577,,,,2611079,471284-1,,Y,Acacia quadrilateralis,Acacia quadrilateralis DC.,471284-1,2613577,1825,Acacia quadrilateralis DC.,Acacia quadrilateralis DC.,Acacia quadrilateralis DC.,A.,A. quadrilateralis,A. quadrilateralis DC.,A. quadrilateralis DC.,A. quadrilateralis DC.
628986,471347-1,Acacia rostellifera,Acacia rostellifera Benth.,Fabaceae,Species,2613677,471347-1,Species,Accepted,Fabaceae,,Acacia,,rostellifera,,,,Benth.,,London J. Bot., 1: 356,(1842),Acacia rostellifera,Benth.,2613677,,,,2611079,471347-1,,Y,Acacia rostellifera,Acacia rostellifera Benth.,471347-1,2613677,1842,Acacia rostellifera Benth.,Acacia rostellifera Benth.,Acacia rostellifera Benth.,A.,A. rostellifera,A. rostellifera Benth.,A. rostellifera Benth.,A. rostellifera Benth.
675112,471447-1,Acacia sericocarpa,Acacia sericocarpa W.Fitzg.,Fabaceae,Species,2613814,471447-1,Species,Accepted,Fabaceae,,Acacia,,sericocarpa,,,,W.Fitzg.,,J. Western Australia Nat. Hist. Soc., 1: 9,(1904),Acacia sericocarpa,W.Fitzg.,2613814,,,,2611079,471447-1,,Y,Acacia sericocarpa,Acacia sericocarpa W.Fitzg.,471447-1,2613814,1904,Acacia sericocarpa W.Fitzg.,Acacia sericocarpa W.Fitzg.,Acacia sericocarpa W.Fitzg.,A.,A. sericocarpa,A. sericocarpa W.Fitzg.,A. sericocarpa W.Fitzg.,A. sericocarpa W.Fitzg.
677905,471534-1,Acacia squamata,Acacia squamata Lindl.,Fabaceae,Species,2613928,471534-1,Species,Accepted,Fabaceae,,Acacia,,squamata,,,,Lindl.,,Sketch Veg. Swan R.,: 15,(1839),Acacia squamata,Lindl.,2613928,,,,2611079,471534-1,,Y,Acacia squamata,Acacia squamata Lindl.,471534-1,2613928,1839,Acacia squamata Lindl.,Acacia squamata Lindl.,Acacia squamata Lindl.,A.,A. squamata,A. squamata Lindl.,A. squamata Lindl.,A. squamata Lindl.
627812,471600-1,Acacia sulcata,Acacia sulcata R.Br.,Fabaceae,Species,2614019,471600-1,Species,Accepted,Fabaceae,,Acacia,,sulcata,,,,R.Br.,W.T.Aiton,Hortus Kew., 5: 460,(1813),Acacia sulcata,R.Br.,2614019,,,,2611079,471600-1,,Y,Acacia sulcata,Acacia sulcata R.Br.,471600-1,2614019,1813,Acacia sulcata R.Br.,Acacia sulcata R.Br.,Acacia sulcata R.Br.,A.,A. sulcata,A. sulcata R.Br.,A. sulcata R.Br.,A. sulcata R.Br.
674968,82326-3,Acacia uncinata,Acacia uncinata Lindl.,Fabaceae,Species,2614182,82326-3,Species,Accepted,Fabaceae,,Acacia,,uncinata,,,,Lindl.,,Edwards's Bot. Reg., 16: t. 1332,(1830),Acacia uncinata,Lindl.,2614182,,,,2611079,82326-3,,Y,Acacia uncinata,Acacia uncinata Lindl.,82326-3,2614182,1830,Acacia uncinata Lindl.,Acacia uncinata Lindl.,Acacia uncinata Lindl.,A.,A. uncinata,A. uncinata Lindl.,A. uncinata Lindl.,A. uncinata Lindl.
707165,720055-1,Acaena montana,Acaena montana Hook.f.,Rosaceae,Species,2938397,720055-1,Species,Accepted,Rosaceae,,Acaena,,montana,,,,Hook.f.,,London J. Bot., 6: 476,(1846),Acaena montana,Hook.f.,2938397,,,,2937820,720055-1,,N,Acaena montana,Acaena montana Hook.f.,720055-1,2938397,1846,Acaena montana Hook.f.,Acaena montana Hook.f.,Acaena montana Hook.f.,A.,A. montana,A. montana Hook.f.,A. montana Hook.f.,A. montana Hook.f.
708566,720089-1,Acaena pinnatifida,Acaena pinnatifida Ruiz & Pav.,Rosaceae,Species,2937969,720089-1,Species,Accepted,Rosaceae,,Acaena,,pinnatifida,,,,Ruiz & Pav.,,Fl. Peruv., 1: 68,(1798),Acaena pinnatifida,Ruiz & Pav.,2937969,,,,2937820,720089-1,,N,Acaena pinnatifida,Acaena pinnatifida Ruiz & Pav.,720089-1,2937969,1798,Acaena pinnatifida Ruiz & Pav.,Acaena pinnatifida Ruiz & Pav.,Acaena pinnatifida Ruiz & Pav.,A.,A. pinnatifida,A. pinnatifida Ruiz & Pav.,A. pinnatifida Ruiz & Pav.,A. pinnatifida Ruiz & Pav.
706867,720102-1,Acaena pumila,Acaena pumila Vahl,Rosaceae,Species,2938049,720102-1,Species,Accepted,Rosaceae,,Acaena,,pumila,,,,Vahl,,Enum. Pl., 1: 298,(1804),Acaena pumila,Vahl,2938049,,,,2937820,720102-1,,N,Acaena pumila,Acaena pumila Vahl,720102-1,2938049,1804,Acaena pumila Vahl,Acaena pumila Vahl,Acaena pumila Vahl,A.,A. pumila,A. pumila Vahl,A. pumila Vahl,A. pumila Vahl
701770,720114-1,Acaena sericea,Acaena sericea J.Jacq.,Rosaceae,Species,2938434,720114-1,Species,Accepted,Rosaceae,,Acaena,,sericea,,,,J.Jacq.,,Ecl. Pl. Rar., 1: 81,(1813),Acaena sericea,J.Jacq.,2938434,,,,2937820,720114-1,,N,Acaena sericea,Acaena sericea J.Jacq.,720114-1,2938434,1813,Acaena sericea J.Jacq.,Acaena sericea J.Jacq.,Acaena sericea J.Jacq.,A.,A. sericea,A. sericea J.Jacq.,A. sericea J.Jacq.,A. sericea J.Jacq.
483084,337127-1,Acalypha acuminata,Acalypha acuminata Benth.,Euphorbiaceae,Species,137,337127-1,Species,Accepted,Euphorbiaceae,,Acalypha,,acuminata,,,,Benth.,,Hooker's J. Bot. Kew Gard. Misc., 6: 329,(1854),Acalypha acuminata,Benth.,137,,,,126,337127-1,,Y,Acalypha acuminata,Acalypha acuminata Benth.,337127-1,137,1854,Acalypha acuminata Benth.,Acalypha acuminata Benth.,Acalypha acuminata Benth.,A.,A. acuminata,A. acuminata Benth.,A. acuminata Benth.,A. acuminata Benth.
483497,1209-2,Acalypha cuspidata,Acalypha cuspidata Jacq.,Euphorbiaceae,Species,442,1209-2,Species,Accepted,Euphorbiaceae,,Acalypha,,cuspidata,,,,Jacq.,,Pl. Hort. Schoenbr., 2: 63,(1797),Acalypha cuspidata,Jacq.,442,,,,126,1209-2,,Y,Acalypha cuspidata,Acalypha cuspidata Jacq.,1209-2,442,1797,Acalypha cuspidata Jacq.,Acalypha cuspidata Jacq.,Acalypha cuspidata Jacq.,A.,A. cuspidata,A. cuspidata Jacq.,A. cuspidata Jacq.,A. cuspidata Jacq.
464277,337338-1,Acalypha dimorpha,Acalypha dimorpha Müll.Arg.,Euphorbiaceae,Species,476,337338-1,Species,Accepted,Euphorbiaceae,,Acalypha,,dimorpha,,,,Müll.Arg.,C.F.P.von Martius & auct. suc. (eds.),Fl. Bras., 11(2): 354,(1874),Acalypha dimorpha,Müll.Arg.,476,,,,126,337338-1,,Y,Acalypha dimorpha,Acalypha dimorpha Müll.Arg.,337338-1,476,1874,Acalypha dimorpha Müll.Arg.,Acalypha dimorpha Müll.Arg.,Acalypha dimorpha Müll.Arg.,A.,A. dimorpha,A. dimorpha Müll.Arg.,A. dimorpha Müll.Arg.,A. dimorpha Müll.Arg.
461636,337351-1,Acalypha dumetorum,Acalypha dumetorum Müll.Arg.,Euphorbiaceae,Species,499,337351-1,Species,Accepted,Euphorbiaceae,,Acalypha,,dumetorum,,,,Müll.Arg.,,J. Bot., 2: 334,(1864),Acalypha dumetorum,Müll.Arg.,499,,,,126,337351-1,,Y,Acalypha dumetorum,Acalypha dumetorum Müll.Arg.,337351-1,499,1864,Acalypha dumetorum Müll.Arg.,Acalypha dumetorum Müll.Arg.,Acalypha dumetorum Müll.Arg.,A.,A. dumetorum,A. dumetorum Müll.Arg.,A. dumetorum Müll.Arg.,A. dumetorum Müll.Arg.
464278,337360-1,Acalypha elliptica,Acalypha elliptica Sw.,Euphorbiaceae,Species,515,337360-1,Species,Accepted,Euphorbiaceae,,Acalypha,,elliptica,,,,Sw.,,Prodr. Veg. Ind. Occ.,: 99,(1788),Acalypha elliptica,Sw.,515,,,,126,337360-1,,Y,Acalypha elliptica,Acalypha elliptica Sw.,337360-1,515,1788,Acalypha elliptica Sw.,Acalypha elliptica Sw.,Acalypha elliptica Sw.,A.,A. elliptica,A. elliptica Sw.,A. elliptica Sw.,A. elliptica Sw.
