,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,publication_year,taxon_names_with_authors,taxon_names_with_paranthet_authors,taxon_names_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author
503190,60468511-2,Abies alba,Abies alba Mill.,Pinaceae,Species,381621,60468511-2,Species,Accepted,Pinaceae,,Abies,,alba,,,,Mill.,,"Gard. Dict., ed. 7.",: n.° 1,(1756),Abies alba,Mill.,381621,380361,L.,,381615,60468511-2,,Y,Abies alba,Abies alba Mill.,60468511-2,381621,1756,Abies alba Mill.,Abies alba Mill.,Abies alba Mill.,A.,A. alba,A. alba Mill.,A. alba Mill.,A. alba Mill.
46831,1033427-2,Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.,Pinaceae,Species,381804,1033427-2,Species,Accepted,Pinaceae,,Abies,,grandis,,,Douglas ex D.Don,Lindl.,,Penny Cyclop., 1: 30,(1833),Abies grandis,(Douglas ex D.Don) Lindl.,381804,379887,,,381615,1033427-2,,Y,Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.,1033427-2,381804,1833,Abies grandis (Douglas ex D.Don) Lindl.,Abies grandis Douglas ex D.Don Lindl.,Abies grandis Lindl.,A.,A. grandis,A. grandis (Douglas ex D.Don) Lindl.,A. grandis Douglas ex D.Don Lindl.,A. grandis Lindl.
377365,1081948-2,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,Pinaceae,Species,381853,1081948-2,Species,Accepted,Pinaceae,,Abies,,lasiocarpa,,,Hook.,Nutt.,,N. Amer. Sylv., 3: 138,(1849),Abies lasiocarpa,(Hook.) Nutt.,381853,379687,,,381615,1081948-2,,Y,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,1081948-2,381853,1849,Abies lasiocarpa (Hook.) Nutt.,Abies lasiocarpa Hook. Nutt.,Abies lasiocarpa Nutt.,A.,A. lasiocarpa,A. lasiocarpa (Hook.) Nutt.,A. lasiocarpa Hook. Nutt.,A. lasiocarpa Nutt.
548495,580080-1,Abuta rufescens,Abuta rufescens Aubl.,Menispermaceae,Species,2610404,580080-1,Species,Accepted,Menispermaceae,,Abuta,,rufescens,,,,Aubl.,,Hist. Pl. Guiane, 1: 618,(1775),Abuta rufescens,Aubl.,2610404,,,,2610358,580080-1,,N,Abuta rufescens,Abuta rufescens Aubl.,580080-1,2610404,1775,Abuta rufescens Aubl.,Abuta rufescens Aubl.,Abuta rufescens Aubl.,A.,A. rufescens,A. rufescens Aubl.,A. rufescens Aubl.,A. rufescens Aubl.
401905,558069-1,Abutilon albidum,Abutilon albidum (Willd.) Sweet,Malvaceae,Species,2610437,558069-1,Species,Accepted,Malvaceae,,Abutilon,,albidum,,,Willd.,Sweet,,Hort. Brit.,: 54,(1826),Abutilon albidum,(Willd.) Sweet,2610437,2588293,,,2610430,558069-1,,N,Abutilon albidum,Abutilon albidum (Willd.) Sweet,558069-1,2610437,1826,Abutilon albidum (Willd.) Sweet,Abutilon albidum Willd. Sweet,Abutilon albidum Sweet,A.,A. albidum,A. albidum (Willd.) Sweet,A. albidum Willd. Sweet,A. albidum Sweet
615462,558164-1,Abutilon cryptopetalum,Abutilon cryptopetalum (F.Muell.) Benth.,Malvaceae,Species,2610559,558164-1,Species,Accepted,Malvaceae,,Abutilon,,cryptopetalum,,,F.Muell.,Benth.,,Fl. Austral., 1: 201,(1863),Abutilon cryptopetalum,(F.Muell.) Benth.,2610559,2595693,,,2610430,558164-1,,N,Abutilon cryptopetalum,Abutilon cryptopetalum (F.Muell.) Benth.,558164-1,2610559,1863,Abutilon cryptopetalum (F.Muell.) Benth.,Abutilon cryptopetalum F.Muell. Benth.,Abutilon cryptopetalum Benth.,A.,A. cryptopetalum,A. cryptopetalum (F.Muell.) Benth.,A. cryptopetalum F.Muell. Benth.,A. cryptopetalum Benth.
619743,558340-1,Abutilon macrocarpum,Abutilon macrocarpum Guill. & Perr.,Malvaceae,Species,2610764,558340-1,Species,Accepted,Malvaceae,,Abutilon,,macrocarpum,,,,Guill. & Perr.,,Fl. Seneg. Tent.,: 69,(1831),Abutilon macrocarpum,Guill. & Perr.,2610764,,,,2610430,558340-1,,N,Abutilon macrocarpum,Abutilon macrocarpum Guill. & Perr.,558340-1,2610764,1831,Abutilon macrocarpum Guill. & Perr.,Abutilon macrocarpum Guill. & Perr.,Abutilon macrocarpum Guill. & Perr.,A.,A. macrocarpum,A. macrocarpum Guill. & Perr.,A. macrocarpum Guill. & Perr.,A. macrocarpum Guill. & Perr.
674915,469663-1,Acacia adunca,Acacia adunca A.Cunn. ex G.Don,Fabaceae,Species,2611144,469663-1,Species,Accepted,Fabaceae,,Acacia,,adunca,,,,A.Cunn. ex G.Don,,Gen. Hist., 2: 406,(1832),Acacia adunca,A.Cunn. ex G.Don,2611144,,,,2611079,469663-1,,Y,Acacia adunca,Acacia adunca A.Cunn. ex G.Don,469663-1,2611144,1832,Acacia adunca A.Cunn. ex G.Don,Acacia adunca A.Cunn. ex G.Don,Acacia adunca A.Cunn. ex G.Don,A.,A. adunca,A. adunca A.Cunn. ex G.Don,A. adunca A.Cunn. ex G.Don,A. adunca A.Cunn. ex G.Don
679278,469699-1,Acacia amoena,Acacia amoena H.L.Wendl.,Fabaceae,Species,2611193,469699-1,Species,Accepted,Fabaceae,,Acacia,,amoena,,,,H.L.Wendl.,,Comm. Acac. Aphyll.,: 16,(1820),Acacia amoena,H.L.Wendl.,2611193,,,,2611079,469699-1,,Y,Acacia amoena,Acacia amoena H.L.Wendl.,469699-1,2611193,1820,Acacia amoena H.L.Wendl.,Acacia amoena H.L.Wendl.,Acacia amoena H.L.Wendl.,A.,A. amoena,A. amoena H.L.Wendl.,A. amoena H.L.Wendl.,A. amoena H.L.Wendl.
675307,469707-1,Acacia anceps,Acacia anceps DC.,Fabaceae,Species,2611205,469707-1,Species,Accepted,Fabaceae,,Acacia,,anceps,,,,DC.,,Mém. Légum.,: 446,(1827),Acacia anceps,DC.,2611205,,,,2611079,469707-1,,Y,Acacia anceps,Acacia anceps DC.,469707-1,2611205,1827,Acacia anceps DC.,Acacia anceps DC.,Acacia anceps DC.,A.,A. anceps,A. anceps DC.,A. anceps DC.,A. anceps DC.
