,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author
8108,1013760-1,Dendrobium pseudoequitans,Dendrobium pseudoequitans Fessel & Lückel,Orchidaceae,Species,Dendrobium,Dendrobium Sw.,56967,325886-2,Genus,232757,70028537-1,Species,Synonym,Orchidaceae,,Ceraia,,pseudoequitans,,,Fessel & Lückel,M.A.Clem.,,Telopea, 10: 293,(2003),,,,,Ceraia pseudoequitans,(Fessel & Lückel) M.A.Clem.,58793,58793,,T,,70028537-1,,Y,Dendrobium pseudoequitans,Dendrobium pseudoequitans Fessel & Lückel,1013760-1,58793,Ceraia pseudoequitans (Fessel & Lückel) M.A.Clem.,Ceraia pseudoequitans Fessel & Lückel M.A.Clem.,Ceraia pseudoequitans M.A.Clem.,C.,C. pseudoequitans,C. pseudoequitans (Fessel & Lückel) M.A.Clem.,C. pseudoequitans Fessel & Lückel M.A.Clem.,C. pseudoequitans M.A.Clem.
8109,1013760-1,Dendrobium pseudoequitans,Dendrobium pseudoequitans Fessel & Lückel,Orchidaceae,Species,Dendrobium,Dendrobium Sw.,56967,325886-2,Genus,331301,77065839-1,Species,Synonym,Orchidaceae,,Ceraia,,pseudoequitans,,,Fessel & Lückel,M.A.Clem.,,Telopea, 10: 769,(2004),,,,,Ceraia pseudoequitans,(Fessel & Lückel) M.A.Clem.,58793,58793,,T,,77065839-1,,Y,Dendrobium pseudoequitans,Dendrobium pseudoequitans Fessel & Lückel,1013760-1,58793,Ceraia pseudoequitans (Fessel & Lückel) M.A.Clem.,Ceraia pseudoequitans Fessel & Lückel M.A.Clem.,Ceraia pseudoequitans M.A.Clem.,C.,C. pseudoequitans,C. pseudoequitans (Fessel & Lückel) M.A.Clem.,C. pseudoequitans Fessel & Lückel M.A.Clem.,C. pseudoequitans M.A.Clem.
10416,17008200-1,Actiniopteris radiata,Actiniopteris radiata (Sw.) Link,Pteridaceae,Species,Actiniopteris,Actiniopteris Link,3189849,17008170-1,Genus,3163381,17212170-1,Species,Illegitimate,Pteridaceae,,Pteris,,dichotoma,,,,Kuhn,,Fil. Deck.,: 18,(1867),", nom. illeg.",,,,Pteris dichotoma,Kuhn,3144257,3163388,Sw.,T,,17212170-1,,N,Actiniopteris radiata,Actiniopteris radiata (Sw.) Link,17008200-1,3144257,Pteris dichotoma Kuhn,Pteris dichotoma Kuhn,Pteris dichotoma Kuhn,P.,P. dichotoma,P. dichotoma Kuhn,P. dichotoma Kuhn,P. dichotoma Kuhn
20730,77229875-1,Lobivia ferox var. ferox,Lobivia ferox var. ferox,Cactaceae,Variety,Lobivia ferox,Lobivia ferox Britton & Rose,2336993,142595-2,Species,3234498,,Species,Synonym,Cactaceae,,Lobivia,,ducis-pauli,,,C.F.Först.,Borg,,Cacti (Borg),: 190,(1937),,,,,Lobivia ducis-pauli,(C.F.Först.) Borg,3263860,2783398,,,,3234498-4,,N,Lobivia ferox,Lobivia ferox Britton & Rose,142595-2,2336993,Lobivia ducis-pauli (C.F.Först.) Borg,Lobivia ducis-pauli C.F.Först. Borg,Lobivia ducis-pauli Borg,L.,L. ducis-pauli,L. ducis-pauli (C.F.Först.) Borg,L. ducis-pauli C.F.Först. Borg,L. ducis-pauli Borg
20870,77229875-1,Lobivia ferox var. ferox,Lobivia ferox var. ferox,Cactaceae,Variety,Lobivia ferox,Lobivia ferox Britton & Rose,2336993,142595-2,Species,2336963,142570-2,Species,Synonym,Cactaceae,,Lobivia,,ducis-pauli,,,C.F.Först.,Borg,,Cacti (Borg),: 190,(1937),,,,,Lobivia ducis-pauli,(C.F.Först.) Borg,3263860,2783398,,,,142570-2,,N,Lobivia ferox,Lobivia ferox Britton & Rose,142595-2,2336993,Lobivia ducis-pauli (C.F.Först.) Borg,Lobivia ducis-pauli C.F.Först. Borg,Lobivia ducis-pauli Borg,L.,L. ducis-pauli,L. ducis-pauli (C.F.Först.) Borg,L. ducis-pauli C.F.Först. Borg,L. ducis-pauli Borg
21365,407611-1,Loudetia hordeiformis,Loudetia hordeiformis (Stapf) C.E.Hubb.,Poaceae,Species,Loudetia,Loudetia Hochst. ex Steud.,423025,331231-2,Genus,396468,77236735-1,Species,Synonym,Poaceae,,Arundinella,,hordeiformis,,,Stapf,Roberty,,"Bull. Inst. Fondam. Afrique Noire, Sér. A, Sci. Nat.", 17: 56,(1955),,,,,Arundinella hordeiformis,(Stapf) Roberty,423064,447125,,T,,77236735-1,,Y,Loudetia hordeiformis,Loudetia hordeiformis (Stapf) C.E.Hubb.,407611-1,423064,Arundinella hordeiformis (Stapf) Roberty,Arundinella hordeiformis Stapf Roberty,Arundinella hordeiformis Roberty,A.,A. hordeiformis,A. hordeiformis (Stapf) Roberty,A. hordeiformis Stapf Roberty,A. hordeiformis Roberty
21366,407611-1,Loudetia hordeiformis,Loudetia hordeiformis (Stapf) C.E.Hubb.,Poaceae,Species,Loudetia,Loudetia Hochst. ex Steud.,423025,331231-2,Genus,396469,390673-1,Species,Synonym,Poaceae,,Arundinella,,hordeiformis,,,Stapf,Roberty,,Fl. Ouest-Afr.,: 392,(1954),,,,seasonally dry tropical,Arundinella hordeiformis,(Stapf) Roberty,423064,447125,,T,,390673-1,,Y,Loudetia hordeiformis,Loudetia hordeiformis (Stapf) C.E.Hubb.,407611-1,423064,Arundinella hordeiformis (Stapf) Roberty,Arundinella hordeiformis Stapf Roberty,Arundinella hordeiformis Roberty,A.,A. hordeiformis,A. hordeiformis (Stapf) Roberty,A. hordeiformis Stapf Roberty,A. hordeiformis Roberty
23905,44057-2,Campomanesia guaviroba,Campomanesia guaviroba (DC.) Bertoni,Myrtaceae,Species,Campomanesia,Campomanesia Ruiz & Pav.,33110,30000055-2,Genus,33253,943725-1,Species,Illegitimate,Myrtaceae,,Campomanesia,,sellowiana,,,O.Berg,Mattos,,Loefgrenia, 90: 4,(1986),", nom. illeg.",,,,Campomanesia sellowiana,(O.Berg) Mattos,33178,92,,,,943725-1,,Y,Campomanesia guaviroba,Campomanesia guaviroba (DC.) Bertoni,44057-2,33178,Campomanesia sellowiana (O.Berg) Mattos,Campomanesia sellowiana O.Berg Mattos,Campomanesia sellowiana Mattos,C.,C. sellowiana,C. sellowiana (O.Berg) Mattos,C. sellowiana O.Berg Mattos,C. sellowiana Mattos
54171,839978-1,Caucalis platycarpos,Caucalis platycarpos L.,Apiaceae,Species,Caucalis,Caucalis L.,2705867,39782-1,Genus,2705894,,Species,Illegitimate,Apiaceae,,Caucalis,,daucoides,,,,L.,,"Syst. Nat., ed. 12.", 2: 205,(1767),", nom. illeg.",,,,Caucalis daucoides,L.,2705953,2705953,L.,T,,2705894-4,,N,Caucalis platycarpos,Caucalis platycarpos L.,839978-1,2705953,Caucalis daucoides L.,Caucalis daucoides L.,Caucalis daucoides L.,C.,C. daucoides,C. daucoides L.,C. daucoides L.,C. daucoides L.
57575,149662-2,Malacothamnus fasciculatus,Malacothamnus fasciculatus (Nutt.) Greene,Malvaceae,Species,Malacothamnus,Malacothamnus Greene,2504576,296809-2,Genus,2510993,,Species,Synonym,Malvaceae,,Malveopsis,,fasciculata,,,Nutt.,Kuntze,,Revis. Gen. Pl., 1: 72,(1891),,,,,Malveopsis fasciculata,(Nutt.) Kuntze,2504630,2503440,,T,,2510993-4,,N,Malacothamnus fasciculatus,Malacothamnus fasciculatus (Nutt.) Greene,149662-2,2504630,Malveopsis fasciculata (Nutt.) Kuntze,Malveopsis fasciculata Nutt. Kuntze,Malveopsis fasciculata Kuntze,M.,M. fasciculata,M. fasciculata (Nutt.) Kuntze,M. fasciculata Nutt. Kuntze,M. fasciculata Kuntze
