,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author
57594,149662-2,Malacothamnus fasciculatus,Malacothamnus fasciculatus (Nutt.) Greene,Malvaceae,Species,Malacothamnus,Malacothamnus Greene,2504576,296809-2,Genus,2505655,,Species,Synonym,Malvaceae,,Malveopsis,,fasciculata,,,Nutt.,Kuntze,,Revis. Gen. Pl., 1: 72,(1891),,,,,Malveopsis fasciculata,(Nutt.) Kuntze,2504630,2503440,,T,,2505655-4,,N,Malacothamnus fasciculatus,Malacothamnus fasciculatus (Nutt.) Greene,149662-2,2504630,Malveopsis fasciculata (Nutt.) Kuntze,Malveopsis fasciculata Nutt. Kuntze,Malveopsis fasciculata Kuntze,M.,M. fasciculata,M. fasciculata (Nutt.) Kuntze,M. fasciculata Nutt. Kuntze,M. fasciculata Kuntze
59254,47989-2,Casearia fasciculata,Casearia fasciculata (Ruiz & Pav.) Sleumer,Salicaceae,Species,Casearia,Casearia Jacq.,2924207,327084-2,Genus,2924597,,Species,Illegitimate,Salicaceae,,Casearia,,punctata,,,,Spreng.,,"Syst. Veg., ed. 16.", 2: 355,(1825),", nom. illeg.",,,,Casearia punctata,Spreng.,2924354,2924728,Ruiz & Pav.,T,,2924597-4,,N,Casearia fasciculata,Casearia fasciculata (Ruiz & Pav.) Sleumer,47989-2,2924354,Casearia punctata Spreng.,Casearia punctata Spreng.,Casearia punctata Spreng.,C.,C. punctata,C. punctata Spreng.,C. punctata Spreng.,C. punctata Spreng.
65719,366552-1,Canscora diffusa,Canscora diffusa (Vahl) R.Br. ex Roem. & Schult.,Gentianaceae,Species,Canscora,Canscora Lam.,2696504,326953-2,Genus,2532864,,Species,Illegitimate,Gentianaceae,,Pladera,,pusilla,,,,Roxb.,,Hort. Bengal.,: 10,(1814),", nom. superfl.",,,,Pladera pusilla,Roxb.,2696511,2820386,Vahl,T,,2532864-4,,N,Canscora diffusa,Canscora diffusa (Vahl) R.Br. ex Roem. & Schult.,366552-1,2696511,Pladera pusilla Roxb.,Pladera pusilla Roxb.,Pladera pusilla Roxb.,P.,P. pusilla,P. pusilla Roxb.,P. pusilla Roxb.,P. pusilla Roxb.
66628,308759-1,Hellmuthia membranacea,Hellmuthia membranacea (Thunb.) R.W.Haines & Lye,Cyperaceae,Species,Hellmuthia,Hellmuthia Steud.,248691,13799-1,Genus,250394,309419-1,Species,Synonym,Cyperaceae,,Isolepis,,membranacea,,,Thunb.,Nees,,Linnaea, 10: 159,(1835),,,,,Isolepis membranacea,(Thunb.) Nees,248692,264483,,T,,309419-1,,Y,Hellmuthia membranacea,Hellmuthia membranacea (Thunb.) R.W.Haines & Lye,308759-1,248692,Isolepis membranacea (Thunb.) Nees,Isolepis membranacea Thunb. Nees,Isolepis membranacea Nees,I.,I. membranacea,I. membranacea (Thunb.) Nees,I. membranacea Thunb. Nees,I. membranacea Nees
66629,308759-1,Hellmuthia membranacea,Hellmuthia membranacea (Thunb.) R.W.Haines & Lye,Cyperaceae,Species,Hellmuthia,Hellmuthia Steud.,248691,13799-1,Genus,250395,309420-1,Species,Synonym,Cyperaceae,,Isolepis,,membranacea,,,Thunb.,Nees,,Linnaea, 9: 291,(1834),,,,,Isolepis membranacea,(Thunb.) Nees,248692,264483,,T,,309420-1,,Y,Hellmuthia membranacea,Hellmuthia membranacea (Thunb.) R.W.Haines & Lye,308759-1,248692,Isolepis membranacea (Thunb.) Nees,Isolepis membranacea Thunb. Nees,Isolepis membranacea Nees,I.,I. membranacea,I. membranacea (Thunb.) Nees,I. membranacea Thunb. Nees,I. membranacea Nees
76106,295406-1,Castanopsis rhamnifolia,Castanopsis rhamnifolia (Miq.) A.DC.,Fagaceae,Species,Castanopsis,Castanopsis (D.Don) Spach,35081,13483-1,Genus,35037,77237729-1,Species,Synonym,Fagaceae,,Castanea,,rhamnifolia,,,Miq.,Kurz,,Prelim. Rep. Forest Pegu,", App. A.: cxxvii",(1875),,,,,Castanea rhamnifolia,(Miq.) Kurz,35298,174725,,T,,77237729-1,,Y,Castanopsis rhamnifolia,Castanopsis rhamnifolia (Miq.) A.DC.,295406-1,35298,Castanea rhamnifolia (Miq.) Kurz,Castanea rhamnifolia Miq. Kurz,Castanea rhamnifolia Kurz,C.,C. rhamnifolia,C. rhamnifolia (Miq.) Kurz,C. rhamnifolia Miq. Kurz,C. rhamnifolia Kurz
76108,295406-1,Castanopsis rhamnifolia,Castanopsis rhamnifolia (Miq.) A.DC.,Fagaceae,Species,Castanopsis,Castanopsis (D.Don) Spach,35081,13483-1,Genus,35039,295346-1,Species,Synonym,Fagaceae,,Castanea,,rhamnifolia,,,Miq.,Kurz,,Forest Fl. Burma, 2: 481,(1877),,,,,Castanea rhamnifolia,(Miq.) Kurz,35298,174725,,T,,295346-1,,Y,Castanopsis rhamnifolia,Castanopsis rhamnifolia (Miq.) A.DC.,295406-1,35298,Castanea rhamnifolia (Miq.) Kurz,Castanea rhamnifolia Miq. Kurz,Castanea rhamnifolia Kurz,C.,C. rhamnifolia,C. rhamnifolia (Miq.) Kurz,C. rhamnifolia Miq. Kurz,C. rhamnifolia Kurz
79131,269570-1,Ipomoea polymorpha,Ipomoea polymorpha Roem. & Schult.,Convolvulaceae,Species,Ipomoea,Ipomoea L.,480428,325789-2,Genus,483915,77238602-1,Species,Illegitimate,Convolvulaceae,,Convolvulus,,brownii,,,,Spreng.,,"Syst. Veg., ed. 16.", 1: 612,(1824),", nom. superfl.",,,,Convolvulus brownii,Spreng.,482178,481288,R.Br.,T,,77238602-1,,Y,Ipomoea polymorpha,Ipomoea polymorpha Roem. & Schult.,269570-1,482178,Convolvulus brownii Spreng.,Convolvulus brownii Spreng.,Convolvulus brownii Spreng.,C.,C. brownii,C. brownii Spreng.,C. brownii Spreng.,C. brownii Spreng.
80188,189811-1,Centaurea aeolica,Centaurea aeolica Guss. ex Lojac.,Asteraceae,Species,Centaurea,Centaurea L.,3134277,330045-2,Genus,3255959,,Species,Synonym,Asteraceae,,Acosta,,aeolica,,,Guss. ex Lojac.,Holub,,Preslia, 46: 226,(1974),,,,,Acosta aeolica,(Guss. ex Lojac.) Holub,3047721,3047721,,T,,3255959-4,,N,Centaurea aeolica,Centaurea aeolica Guss. ex Lojac.,189811-1,3047721,Acosta aeolica (Guss. ex Lojac.) Holub,Acosta aeolica Guss. ex Lojac. Holub,Acosta aeolica Holub,A.,A. aeolica,A. aeolica (Guss. ex Lojac.) Holub,A. aeolica Guss. ex Lojac. Holub,A. aeolica Holub
80190,189811-1,Centaurea aeolica,Centaurea aeolica Guss. ex Lojac.,Asteraceae,Species,Centaurea,Centaurea L.,3134277,330045-2,Genus,3047729,174563-1,Species,Synonym,Asteraceae,,Acosta,,aeolica,,,Guss. ex Lojac.,Holub,,Preslia, 46: 226,(1974),,,,,Acosta aeolica,(Guss. ex Lojac.) Holub,3047721,3047721,,T,,174563-1,,N,Centaurea aeolica,Centaurea aeolica Guss. ex Lojac.,189811-1,3047721,Acosta aeolica (Guss. ex Lojac.) Holub,Acosta aeolica Guss. ex Lojac. Holub,Acosta aeolica Holub,A.,A. aeolica,A. aeolica (Guss. ex Lojac.) Holub,A. aeolica Guss. ex Lojac. Holub,A. aeolica Holub
80271,281799-2,Osmunda claytoniana,Osmunda claytoniana L.,Osmundaceae,Species,Osmunda,Osmunda L.,3189906,30041615-2,Genus,3155056,17178030-1,Species,Synonym,Osmundaceae,,Plenasium,,claytonianum,,,L.,C.Presl,,Abh. Königl. Böhm. Ges. Wiss.,", ser. 5, 5: 325",(1848),,,,,Plenasium claytonianum,(L.) C.Presl,3155051,3155051,,T,,17178030-1,,N,Osmunda claytoniana,Osmunda claytoniana L.,281799-2,3155051,Plenasium claytonianum (L.) C.Presl,Plenasium claytonianum L. C.Presl,Plenasium claytonianum C.Presl,P.,P. claytonianum,P. claytonianum (L.) C.Presl,P. claytonianum L. C.Presl,P. claytonianum C.Presl
81369,281799-2,Osmunda claytoniana,Osmunda claytoniana L.,Osmundaceae,Species,Osmunda,Osmunda L.,3189906,30041615-2,Genus,3000458,60463702-2,Species,Synonym,Osmundaceae,,Plenasium,,claytonianum,,,L.,C.Presl,,Gefässbundel Farrn,: 17,(1847),,,,,Plenasium claytonianum,(L.) C.Presl,3155051,3155051,,T,,60463702-2,,N,Osmunda claytoniana,Osmunda claytoniana L.,281799-2,3155051,Plenasium claytonianum (L.) C.Presl,Plenasium claytonianum L. C.Presl,Plenasium claytonianum C.Presl,P.,P. claytonianum,P. claytonianum (L.) C.Presl,P. claytonianum L. C.Presl,P. claytonianum C.Presl
86002,90723-1,Hedera helix,Hedera helix L.,Araliaceae,Species,Hedera,Hedera L.,96559,30070080-2,Genus,96785,77242032-1,Species,Illegitimate,Araliaceae,,Hedera,,poetarum,,,,Bertol.,,Prael. Rei Herb.,: 78,(1827),", nom. illeg.",,,,Hedera poetarum,Bertol.,96659,96659,L.,T,,77242032-1,,Y,Hedera helix,Hedera helix L.,90723-1,96659,Hedera poetarum Bertol.,Hedera poetarum Bertol.,Hedera poetarum Bertol.,H.,H. poetarum,H. poetarum Bertol.,H. poetarum Bertol.,H. poetarum Bertol.
87600,224511-2,Rumex thyrsiflorus,Rumex thyrsiflorus Fingerh.,Polygonaceae,Species,Rumex,Rumex L.,2425606,328551-2,Genus,2424153,,Species,Synonym,Polygonaceae,,Rumex,,auriculatus,,,Wallr.,Murb.,,Bot. Not., 1899: 39,(1899),,,,,Rumex auriculatus,(Wallr.) Murb.,2418220,2869526,,,,2424153-4,,N,Rumex thyrsiflorus,Rumex thyrsiflorus Fingerh.,224511-2,2418220,Rumex auriculatus (Wallr.) Murb.,Rumex auriculatus Wallr. Murb.,Rumex auriculatus Murb.,R.,R. auriculatus,R. auriculatus (Wallr.) Murb.,R. auriculatus Wallr. Murb.,R. auriculatus Murb.
90579,256336-1,Tricholepis radicans,Tricholepis radicans (Roxb.) DC.,Asteraceae,Species,Tricholepis,Tricholepis DC.,3134421,11356-1,Genus,3046779,256336-1,Species,Accepted,Asteraceae,,Tricholepis,,radicans,,,Roxb.,DC.,R.Wight,Contr. Bot. India,: 25,(1834),,India,,seasonally dry tropical,Tricholepis radicans,(Roxb.) DC.,3046779,3046777,,,3134421,256336-1,,N,Tricholepis radicans,Tricholepis radicans (Roxb.) DC.,256336-1,3046779,Tricholepis radicans (Roxb.) DC.,Tricholepis radicans Roxb. DC.,Tricholepis radicans DC.,T.,T. radicans,T. radicans (Roxb.) DC.,T. radicans Roxb. DC.,T. radicans DC.
92311,256336-1,Tricholepis radicans,Tricholepis radicans (Roxb.) DC.,Asteraceae,Species,Tricholepis,Tricholepis DC.,3134421,11356-1,Genus,3046778,256335-1,Species,Synonym,Asteraceae,,Tricholepis,,radicans,,,Roxb.,DC.,,Prodr., 6: 564,(1838),,,,,Tricholepis radicans,(Roxb.) DC.,3046779,3046777,,T,,256335-1,,N,Tricholepis radicans,Tricholepis radicans (Roxb.) DC.,256336-1,3046779,Tricholepis radicans (Roxb.) DC.,Tricholepis radicans Roxb. DC.,Tricholepis radicans DC.,T.,T. radicans,T. radicans (Roxb.) DC.,T. radicans Roxb. DC.,T. radicans DC.
93585,17040860-1,Asplenium ceterach,Asplenium ceterach L.,Aspleniaceae,Species,Asplenium,Asplenium L.,3189810,328226-2,Genus,3166401,17164710-1,Species,Synonym,Aspleniaceae,,Notolepeum,,ceterach,,,L.,Newman,,Hist. Brit. Ferns,", ed. 2: 9",(1844),,,,,Notolepeum ceterach,(L.) Newman,3145781,3145781,,T,,17164710-1,,N,Asplenium ceterach,Asplenium ceterach L.,17040860-1,3145781,Notolepeum ceterach (L.) Newman,Notolepeum ceterach L. Newman,Notolepeum ceterach Newman,N.,N. ceterach,N. ceterach (L.) Newman,N. ceterach L. Newman,N. ceterach Newman
94015,17040860-1,Asplenium ceterach,Asplenium ceterach L.,Aspleniaceae,Species,Asplenium,Asplenium L.,3189810,328226-2,Genus,3239318,,Species,Synonym,Aspleniaceae,,Notolepeum,,ceterach,,,L.,Newman,,Hist. Brit. Ferns,", ed. 2: 9",(1844),,,,,Notolepeum ceterach,(L.) Newman,3145781,3145781,,T,,3239318-4,,N,Asplenium ceterach,Asplenium ceterach L.,17040860-1,3145781,Notolepeum ceterach (L.) Newman,Notolepeum ceterach L. Newman,Notolepeum ceterach Newman,N.,N. ceterach,N. ceterach (L.) Newman,N. ceterach L. Newman,N. ceterach Newman
98509,77181782-1,Helichrysum stoechas subsp. barrelieri,Helichrysum stoechas subsp. barrelieri (Ten.) Nyman,Asteraceae,Subspecies,Helichrysum stoechas,Helichrysum stoechas (L.) Moench,3091930,213364-1,Species,3091939,212552-1,Species,Illegitimate,Asteraceae,,Helichrysum,,cespitosum,,,,DC.,,Prodr., 6: 182,(1838),", nom. superfl.",,,,Helichrysum cespitosum,DC.,3091944,3091754,C.Presl,,,212552-1,,N,Helichrysum stoechas,Helichrysum stoechas (L.) Moench,213364-1,3091930,Helichrysum cespitosum DC.,Helichrysum cespitosum DC.,Helichrysum cespitosum DC.,H.,H. cespitosum,H. cespitosum DC.,H. cespitosum DC.,H. cespitosum DC.
99255,947563-1,Caladenia valida,Caladenia valida (Nicholls) M.A.Clem. & D.L.Jones,Orchidaceae,Species,Caladenia,Caladenia R.Br.,28433,28913-1,Genus,13824,77236857-1,Species,Synonym,Orchidaceae,,Arachnorchis,,valida,,,Nicholls,D.L.Jones & M.A.Clem.,,Orchadian, 13: 400,(2001),,,,,Arachnorchis valida,(Nicholls) D.L.Jones & M.A.Clem.,28735,28692,,T,,77236857-1,,Y,Caladenia valida,Caladenia valida (Nicholls) M.A.Clem. & D.L.Jones,947563-1,28735,Arachnorchis valida (Nicholls) D.L.Jones & M.A.Clem.,Arachnorchis valida Nicholls D.L.Jones & M.A.Clem.,Arachnorchis valida D.L.Jones & M.A.Clem.,A.,A. valida,A. valida (Nicholls) D.L.Jones & M.A.Clem.,A. valida Nicholls D.L.Jones & M.A.Clem.,A. valida D.L.Jones & M.A.Clem.
99258,947563-1,Caladenia valida,Caladenia valida (Nicholls) M.A.Clem. & D.L.Jones,Orchidaceae,Species,Caladenia,Caladenia R.Br.,28433,28913-1,Genus,220766,77237223-1,Species,Synonym,Orchidaceae,,Arachnorchis,,valida,,,Nicholls,D.L.Jones & M.A.Clem.,,Orchadian, 14: 126,(2003),,,,,Arachnorchis valida,(Nicholls) D.L.Jones & M.A.Clem.,28735,28692,,T,,77237223-1,,Y,Caladenia valida,Caladenia valida (Nicholls) M.A.Clem. & D.L.Jones,947563-1,28735,Arachnorchis valida (Nicholls) D.L.Jones & M.A.Clem.,Arachnorchis valida Nicholls D.L.Jones & M.A.Clem.,Arachnorchis valida D.L.Jones & M.A.Clem.,A.,A. valida,A. valida (Nicholls) D.L.Jones & M.A.Clem.,A. valida Nicholls D.L.Jones & M.A.Clem.,A. valida D.L.Jones & M.A.Clem.
100264,77231081-1,Hiptage benghalensis var. benghalensis,Hiptage benghalensis var. benghalensis,Malpighiaceae,Variety,Hiptage benghalensis,Hiptage benghalensis (L.) Kurz,2851606,556690-1,Species,3011986,,Species,Illegitimate,Malpighiaceae,,Molina,,racemosa,,,,Cav.,,Diss., 9: 435,(1790),", nom. superfl.",,,,Molina racemosa,Cav.,3265239,2668817,Sonn.,,,3011986-4,,N,Hiptage benghalensis,Hiptage benghalensis (L.) Kurz,556690-1,2851606,Molina racemosa Cav.,Molina racemosa Cav.,Molina racemosa Cav.,M.,M. racemosa,M. racemosa Cav.,M. racemosa Cav.,M. racemosa Cav.
107453,659531-1,Taeniophyllum amboinense,Taeniophyllum amboinense J.J.Sm.,Orchidaceae,Species,Taeniophyllum,Taeniophyllum Blume,201035,30774-1,Genus,201042,659531-1,Species,Accepted,Orchidaceae,,Taeniophyllum,,amboinense,,,,J.J.Sm.,,Bull. Jard. Bot. Buitenzorg,", sér. 3, 2: 124",(1920),,Maluku (Ambon),epiphyte,wet tropical,Taeniophyllum amboinense,J.J.Sm.,201042,201168,J.J.Sm.,,201035,659531-1,,Y,Taeniophyllum amboinense,Taeniophyllum amboinense J.J.Sm.,659531-1,201042,Taeniophyllum amboinense J.J.Sm.,Taeniophyllum amboinense J.J.Sm.,Taeniophyllum amboinense J.J.Sm.,T.,T. amboinense,T. amboinense J.J.Sm.,T. amboinense J.J.Sm.,T. amboinense J.J.Sm.
117701,100775-1,Raphionacme angolensis,Raphionacme angolensis (Baill.) N.E.Br.,Apocynaceae,Species,Raphionacme,Raphionacme Harv.,510788,3644-1,Genus,510791,100775-1,Species,Accepted,Apocynaceae,,Raphionacme,,angolensis,,,Baill.,N.E.Br.,,Bull. Misc. Inform. Kew, 1895: 248,(1895),,Angola,scrambling tuberous geophyte,seasonally dry tropical,Raphionacme angolensis,(Baill.) N.E.Br.,510791,514022,,,510788,100775-1,,Y,Raphionacme angolensis,Raphionacme angolensis (Baill.) N.E.Br.,100775-1,510791,Raphionacme angolensis (Baill.) N.E.Br.,Raphionacme angolensis Baill. N.E.Br.,Raphionacme angolensis N.E.Br.,R.,R. angolensis,R. angolensis (Baill.) N.E.Br.,R. angolensis Baill. N.E.Br.,R. angolensis N.E.Br.
122167,100775-1,Raphionacme angolensis,Raphionacme angolensis (Baill.) N.E.Br.,Apocynaceae,Species,Raphionacme,Raphionacme Harv.,510788,3644-1,Genus,510790,77245899-1,Species,Illegitimate,Apocynaceae,,Raphionacme,,angolensis,,,Baill.,N.E.Br.,D.Oliver & auct. suc. (eds.),Fl. Trop. Afr., 4: 271,(1902),", nom. illeg.",,,,Raphionacme angolensis,(Baill.) N.E.Br.,510791,514022,,T,,77245899-1,,Y,Raphionacme angolensis,Raphionacme angolensis (Baill.) N.E.Br.,100775-1,510791,Raphionacme angolensis (Baill.) N.E.Br.,Raphionacme angolensis Baill. N.E.Br.,Raphionacme angolensis N.E.Br.,R.,R. angolensis,R. angolensis (Baill.) N.E.Br.,R. angolensis Baill. N.E.Br.,R. angolensis N.E.Br.
