,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author
1430905,742842-1,Acranthera longipetiolata,Acranthera longipetiolata Merr. ex Bremek.,Rubiaceae,Species,Acranthera,Acranthera Arn. ex Meisn.,2369,331317-2,Genus,2389,77235330-1,Species,Illegitimate,Rubiaceae,,Acranthera,,longipes,,,,Merr.,,Mitt. Inst. Allg. Bot. Hamburg, 7: 284,(1937),", nom. illeg.",,,,Acranthera longipes,Merr.,2391,,,T,,77235330-1,,Y,Acranthera longipetiolata,Acranthera longipetiolata Merr. ex Bremek.,742842-1,2391,Acranthera longipes Merr.,Acranthera longipes Merr.,Acranthera longipes Merr.,A.,A. longipes,A. longipes Merr.,A. longipes Merr.,A. longipes Merr.
577813,742840-1,Acranthera longipes,Acranthera longipes Merr.,Rubiaceae,Species,Acranthera,Acranthera Arn. ex Meisn.,2369,331317-2,Genus,2390,742840-1,Species,Accepted,Rubiaceae,,Acranthera,,longipes,,,,Merr.,,Pap. Michigan Acad. Sci., 19: 194,(1933 publ. 1934),,E. Sumatera,,wet tropical,Acranthera longipes,Merr.,2390,,,,2369,742840-1,,Y,Acranthera longipes,Acranthera longipes Merr.,742840-1,2390,Acranthera longipes Merr.,Acranthera longipes Merr.,Acranthera longipes Merr.,A.,A. longipes,A. longipes Merr.,A. longipes Merr.,A. longipes Merr.
1316979,17008890-1,Adiantum andicola,Adiantum andicola Liebm.,Pteridaceae,Species,Adiantum,Adiantum L.,3189830,328214-2,Genus,3165199,315259-2,Species,Synonym,Pteridaceae,,Adiantum,,glaucophyllum,,,,Hook.,,Sp. Fil., 2: 40,(1851),,,,,Adiantum glaucophyllum,Hook.,3144773,,,,,315259-2,,N,Adiantum andicola,Adiantum andicola Liebm.,17008890-1,3144773,Adiantum glaucophyllum Hook.,Adiantum glaucophyllum Hook.,Adiantum glaucophyllum Hook.,A.,A. glaucophyllum,A. glaucophyllum Hook.,A. glaucophyllum Hook.,A. glaucophyllum Hook.
1406962,17013290-1,Adiantum tenerum,Adiantum tenerum Sw.,Pteridaceae,Species,Adiantum,Adiantum L.,3189830,328214-2,Genus,3165155,17010490-1,Species,Synonym,Pteridaceae,,Adiantum,,glaucophyllum,,,,Hook.,,Hooker's Icon. Pl., 6: t. 961,(1854),,,,,Adiantum glaucophyllum,Hook.,3145061,,,,,17010490-1,,N,Adiantum tenerum,Adiantum tenerum Sw.,17013290-1,3145061,Adiantum glaucophyllum Hook.,Adiantum glaucophyllum Hook.,Adiantum glaucophyllum Hook.,A.,A. glaucophyllum,A. glaucophyllum Hook.,A. glaucophyllum Hook.,A. glaucophyllum Hook.
201756,17011650-1,Adiantum moorei,Adiantum moorei Baker,Pteridaceae,Species,Adiantum,Adiantum L.,3189830,328214-2,Genus,3165102,17011650-1,Species,Accepted,Pteridaceae,,Adiantum,,moorei,,,,Baker,,Gard. Chron., 1873: 811,(1873),,Peru to NW. Argentina,perennial or rhizomatous geophyte,subtropical,Adiantum moorei,Baker,3165102,3165093,T.Moore,,3189830,17011650-1,,N,Adiantum moorei,Adiantum moorei Baker,17011650-1,3165102,Adiantum moorei Baker,Adiantum moorei Baker,Adiantum moorei Baker,A.,A. moorei,A. moorei Baker,A. moorei Baker,A. moorei Baker
1398342,17012580-1,Adiantum raddianum,Adiantum raddianum C.Presl,Pteridaceae,Species,Adiantum,Adiantum L.,3189830,328214-2,Genus,3225124,,Species,Synonym,Pteridaceae,,Adiantum,,moorei,,,,Baker,,Gard. Chron., 1873: 811,(1873),,,,,Adiantum moorei,Baker,3144691,,,,,3225124-4,,N,Adiantum raddianum,Adiantum raddianum C.Presl,17012580-1,3144691,Adiantum moorei Baker,Adiantum moorei Baker,Adiantum moorei Baker,A.,A. moorei,A. moorei Baker,A. moorei Baker,A. moorei Baker
860281,17008880-1,Adiantum amplum,Adiantum amplum C.Presl,Pteridaceae,Species,Adiantum,Adiantum L.,3189830,328214-2,Genus,3165194,17012390-1,Species,Synonym,Pteridaceae,,Adiantum,,princeps,,,,T.Moore,,Gard. Chron.,", n.s., 4: 197",(1875),,,,,Adiantum princeps,T.Moore,3144771,,,,,17012390-1,,N,Adiantum amplum,Adiantum amplum C.Presl,17008880-1,3144771,Adiantum princeps T.Moore,Adiantum princeps T.Moore,Adiantum princeps T.Moore,A.,A. princeps,A. princeps T.Moore,A. princeps T.Moore,A. princeps T.Moore
1033191,17008760-1,Adiantum aethiopicum,Adiantum aethiopicum L.,Pteridaceae,Species,Adiantum,Adiantum L.,3189830,328214-2,Genus,3225197,,Species,Synonym,Pteridaceae,,Adiantum,,princeps,,,,T.Moore,,Gard. Chron.,", n.s., 4. 197",(1875),,,,,Adiantum princeps,T.Moore,3144765,,,,,3225197-4,,N,Adiantum aethiopicum,Adiantum aethiopicum L.,17008760-1,3144765,Adiantum princeps T.Moore,Adiantum princeps T.Moore,Adiantum princeps T.Moore,A.,A. princeps,A. princeps T.Moore,A. princeps T.Moore,A. princeps T.Moore
548974,271762-2,Aechmea squarrosa,Aechmea squarrosa Baker,Bromeliaceae,Species,Aechmea,Aechmea Ruiz & Pav.,217789,328345-2,Genus,218262,271762-2,Species,Accepted,Bromeliaceae,,Aechmea,,squarrosa,,,,Baker,,Handb. Bromel.,: 63,(1889),,Brazil (Rio de Janeiro),epiphyte,wet tropical,Aechmea squarrosa,Baker,218262,,,,217789,271762-2,,Y,Aechmea squarrosa,Aechmea squarrosa Baker,271762-2,218262,Aechmea squarrosa Baker,Aechmea squarrosa Baker,Aechmea squarrosa Baker,A.,A. squarrosa,A. squarrosa Baker,A. squarrosa Baker,A. squarrosa Baker
1336924,121847-1,Aechmea tillandsioides,Aechmea tillandsioides (Mart. ex Schult. & Schult.f.) Baker,Bromeliaceae,Species,Aechmea,Aechmea Ruiz & Pav.,217789,328345-2,Genus,218263,121831-1,Species,Illegitimate,Bromeliaceae,,Aechmea,,squarrosa,,,,Baker,,J. Bot., 28: 305,(1890),", nom. illeg.",,,,Aechmea squarrosa,Baker,218283,,,,,121831-1,,Y,Aechmea tillandsioides,Aechmea tillandsioides (Mart. ex Schult. & Schult.f.) Baker,121847-1,218283,Aechmea squarrosa Baker,Aechmea squarrosa Baker,Aechmea squarrosa Baker,A.,A. squarrosa,A. squarrosa Baker,A. squarrosa Baker,A. squarrosa Baker
776020,5659-2,Aegiphila aculeifera,Aegiphila aculeifera Moldenke,Lamiaceae,Species,Aegiphila,Aegiphila Jacq.,3348,41179-1,Genus,3350,5659-2,Species,Accepted,Lamiaceae,,Aegiphila,,aculeifera,,,,Moldenke,,Repert. Spec. Nov. Regni Veg., 37: 209,(1934),,Colombia,,wet tropical,Aegiphila aculeifera,Moldenke,3350,,,,3348,5659-2,,Y,Aegiphila aculeifera,Aegiphila aculeifera Moldenke,5659-2,3350,Aegiphila aculeifera Moldenke,Aegiphila aculeifera Moldenke,Aegiphila aculeifera Moldenke,A.,A. aculeifera,A. aculeifera Moldenke,A. aculeifera Moldenke,A. aculeifera Moldenke
1330675,5781-2,Aegiphila odontophylla,Aegiphila odontophylla Donn.Sm.,Lamiaceae,Species,Aegiphila,Aegiphila Jacq.,3348,41179-1,Genus,3349,860796-1,Species,Illegitimate,Lamiaceae,,Aegiphila,,aculeifera,,,,Moldenke,,Phytologia, 1: 378,(1940),", nom. illeg.",,,,Aegiphila aculeifera,Moldenke,3555,,,,,860796-1,,Y,Aegiphila odontophylla,Aegiphila odontophylla Donn.Sm.,5781-2,3555,Aegiphila aculeifera Moldenke,Aegiphila aculeifera Moldenke,Aegiphila aculeifera Moldenke,A.,A. aculeifera,A. aculeifera Moldenke,A. aculeifera Moldenke,A. aculeifera Moldenke
